"VBR","Player","Team","Positions","Opp","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"1","Tyler Glasnow","LAD","SP","@PHI","5.88","7.31","0.37","0.00","3.45","1.10","2.26","4.61","1.75","0.73","0.00","0.00","0.25","0.00","99%"
"2","Ryan Helsley","STL","RP","@BOS","0.76","0.95","0.06","0.42","3.20","1.20","0.27","0.61","0.28","0.07","0.00","0.00","0.04","0.00","99%"
"3","Corbin Burnes","ARI","SP","@WSH","5.91","5.89","0.43","0.00","3.65","1.20","2.40","5.12","1.72","0.74","0.00","0.00","0.28","0.00","99%"
"4","Bryan Woo","SEA","SP","@SF","5.30","5.03","0.29","0.00","3.74","1.23","2.20","5.05","1.21","0.59","0.00","0.00","0.29","0.00","92%"
"5","Cristopher Sanchez","PHI","SP","LAD","5.83","5.18","0.31","0.00","3.67","1.25","2.38","5.51","1.61","0.63","0.00","0.00","0.29","0.00","89%"
"6","Drew Rasmussen","TB","SP,RP","@TEX","4.87","4.68","0.29","0.00","3.47","1.19","1.88","4.41","1.21","0.50","0.00","0.00","0.24","0.00","62%"
"7","Aroldis Chapman","BOS","RP","STL","0.74","1.06","0.06","0.24","3.35","1.35","0.28","0.54","0.43","0.06","0.00","0.00","0.04","0.00","72%"
"8","Edwin Diaz","NYM","RP","TOR","0.38","0.55","0.03","0.22","2.83","1.09","0.12","0.25","0.14","0.04","0.00","0.00","0.02","0.00","99%"
"9","Emmanuel Clase","CLE","RP","@LAA","0.39","0.38","0.02","0.21","2.95","1.11","0.13","0.33","0.08","0.03","0.00","0.00","0.02","0.00","99%"
"10","Sandy Alcantara","MIA","SP","@ATL","4.81","4.29","0.24","0.00","3.35","1.20","1.79","4.36","1.23","0.46","0.00","0.00","0.26","0.00","93%"
"11","Josh Hader","HOU","RP","@MIN","0.39","0.55","0.03","0.20","3.23","1.20","0.14","0.28","0.16","0.05","0.00","0.00","0.02","0.00","99%"
"12","Devin Williams","NYY","RP","@PIT","0.37","0.49","0.03","0.19","3.17","1.26","0.13","0.28","0.17","0.03","0.00","0.00","0.01","0.00","98%"
"13","Raisel Iglesias","ATL","RP","MIA","0.40","0.44","0.03","0.19","3.28","1.14","0.15","0.34","0.10","0.04","0.00","0.00","0.02","0.00","98%"
"14","Mason Miller","ATH","RP","@COL","0.39","0.57","0.02","0.18","2.60","1.04","0.11","0.25","0.14","0.04","0.00","0.00","0.01","0.00","99%"
"15","Andres Munoz","SEA","RP","@SF","0.38","0.49","0.03","0.17","2.69","1.21","0.11","0.29","0.15","0.02","0.00","0.00","0.02","0.00","97%"
"16","Jeff Hoffman","TOR","RP","@NYM","0.38","0.46","0.02","0.16","2.85","1.08","0.12","0.26","0.13","0.04","0.00","0.00","0.01","0.00","94%"
"17","Ryan Walker","SF","RP","SEA","0.40","0.47","0.03","0.16","2.94","1.18","0.13","0.32","0.13","0.03","0.00","0.00","0.02","0.00","96%"
"18","Felix Bautista","BAL","RP","@KC","0.35","0.50","0.02","0.16","3.18","1.17","0.12","0.26","0.14","0.03","0.00","0.00","0.01","0.00","96%"
"19","Trevor Megill","MIL","RP","CIN","0.37","0.46","0.02","0.17","3.42","1.20","0.14","0.30","0.13","0.05","0.00","0.00","0.02","0.00","90%"
"20","David Peterson","NYM","SP","TOR","5.63","5.34","0.37","0.00","3.80","1.35","2.38","5.10","2.24","0.61","0.00","0.00","0.30","0.00","33%"
"21","Jhoan Duran","MIN","RP","HOU","0.38","0.47","0.03","0.15","2.72","1.19","0.11","0.30","0.13","0.03","0.00","0.00","0.02","0.00","94%"
"22","Robert Suarez","SD","RP","@CHC","0.38","0.39","0.02","0.16","3.52","1.25","0.15","0.33","0.14","0.04","0.00","0.00","0.02","0.00","94%"
"23","Kenley Jansen","LAA","RP","CLE","0.36","0.41","0.02","0.16","3.88","1.23","0.16","0.29","0.14","0.05","0.00","0.00","0.02","0.00","86%"
"24","Kumar Rocker","TEX","SP","TB","4.37","4.45","0.25","0.00","4.04","1.28","1.96","4.00","1.41","0.62","0.00","0.00","0.24","0.00","40%"
"25","Tanner Scott","LAD","RP","@PHI","0.39","0.47","0.03","0.15","3.31","1.27","0.14","0.30","0.17","0.04","0.00","0.00","0.02","0.00","95%"
"26","Ryan Pressly","CHC","RP","SD","0.36","0.36","0.02","0.15","3.44","1.26","0.14","0.32","0.12","0.03","0.00","0.00","0.02","0.00","86%"
"27","Pete Fairbanks","TB","RP","@TEX","0.35","0.40","0.02","0.15","3.47","1.26","0.13","0.29","0.14","0.04","0.00","0.00","0.02","0.00","87%"
"28","Kyle Finnegan","WSH","RP","ARI","0.37","0.36","0.02","0.15","4.14","1.36","0.17","0.35","0.14","0.05","0.00","0.00","0.02","0.00","75%"
"29","Ben Brown","CHC","SP,RP","SD","4.53","4.99","0.29","0.00","3.58","1.26","1.80","3.76","1.79","0.48","0.00","0.00","0.23","0.00","12%"
"30","Grant Holmes","ATL","SP,RP","MIA","4.97","4.77","0.34","0.00","4.18","1.37","2.31","4.89","1.71","0.61","0.00","0.00","0.22","0.00","31%"
"31","Mike Clevinger","CWS","SP","@DET","0.37","0.33","0.02","0.13","4.47","1.35","0.18","0.35","0.12","0.05","0.00","0.00","0.02","0.00","10%"
"32","Carlos Estevez","KC","RP","BAL","0.38","0.37","0.02","0.13","4.18","1.34","0.18","0.35","0.14","0.04","0.00","0.00","0.02","0.00","79%"
"33","Luke Jackson","TEX","RP","TB","0.37","0.39","0.02","0.13","4.18","1.39","0.17","0.33","0.17","0.05","0.00","0.00","0.02","0.00","46%"
"34","A.J. Puk","ARI","SP,RP","@WSH","0.37","0.45","0.02","0.11","3.39","1.20","0.14","0.30","0.13","0.05","0.00","0.00","0.02","0.00","50%"
"35","Chris Paddack","MIN","SP","HOU","5.44","4.88","0.33","0.00","4.52","1.35","2.73","5.70","1.47","0.84","0.00","0.00","0.29","0.00","4%"
"36","Bowden Francis","TOR","SP,RP","@NYM","5.30","4.87","0.27","0.00","4.03","1.20","2.37","4.51","1.53","0.86","0.00","0.00","0.32","0.00","63%"
"37","Justin Martinez","ARI","RP","@WSH","0.39","0.49","0.03","0.10","3.18","1.33","0.14","0.29","0.20","0.03","0.00","0.00","0.02","0.00","73%"
"38","Anthony Bender","MIA","RP","@ATL","0.37","0.37","0.02","0.10","3.42","1.30","0.14","0.32","0.14","0.04","0.00","0.00","0.02","0.00","4%"
"39","Seth Halvorsen","COL","RP","ATH","0.37","0.35","0.02","0.11","5.26","1.60","0.22","0.41","0.16","0.05","0.00","0.00","0.02","0.00","23%"
"40","Jordan Romano","PHI","RP","LAD","0.34","0.37","0.02","0.09","3.95","1.28","0.15","0.29","0.13","0.05","0.00","0.00","0.02","0.00","76%"
"41","Will Warren","NYY","SP","@PIT","4.84","4.44","0.34","0.00","4.67","1.46","2.51","5.07","1.73","0.55","0.00","0.00","0.28","0.00","11%"
"42","Jose Alvarado","PHI","RP","LAD","0.35","0.44","0.02","0.07","3.23","1.28","0.13","0.27","0.16","0.03","0.00","0.00","0.01","0.00","20%"
"43","Chad Patrick","MIL","SP","CIN","4.68","4.27","0.31","0.00","4.29","1.30","2.23","4.34","1.50","0.77","0.00","0.00","0.21","0.00","1%"
"44","Kris Bubic","KC","RP","BAL","4.68","4.52","0.27","0.00","4.30","1.41","2.24","4.73","1.67","0.51","0.00","0.00","0.25","0.00","29%"
"45","Calvin Faucher","MIA","RP","@ATL","0.37","0.37","0.02","0.08","3.78","1.41","0.16","0.34","0.17","0.04","0.00","0.00","0.02","0.00","15%"
"46","Jordan Hicks","SF","SP,RP","SEA","4.93","4.66","0.30","0.00","3.82","1.43","2.09","4.60","2.16","0.43","0.00","0.00","0.28","0.00","27%"
"47","Miles Mikolas","STL","SP","@BOS","5.31","3.68","0.29","0.00","5.02","1.42","2.96","6.28","1.07","0.78","0.00","0.00","0.34","0.00","4%"
"48","Justin Slaten","BOS","RP","STL","0.76","0.79","0.04","0.08","4.13","1.39","0.35","0.74","0.29","0.09","0.00","0.00","0.04","0.00","19%"
"49","Griffin Jax","MIN","RP","HOU","0.41","0.48","0.03","0.05","3.25","1.17","0.15","0.34","0.12","0.04","0.00","0.00","0.02","0.00","28%"
"50","Blake Treinen","LAD","RP","@PHI","0.36","0.40","0.03","0.05","3.48","1.19","0.14","0.30","0.11","0.04","0.00","0.00","0.02","0.00","36%"
"51","Dennis Santana","PIT","RP","NYY","0.37","0.36","0.02","0.07","4.27","1.43","0.18","0.35","0.16","0.04","0.00","0.00","0.02","0.00","19%"
"52","Camilo Doval","SF","RP","SEA","0.37","0.43","0.02","0.06","3.13","1.30","0.13","0.30","0.16","0.02","0.00","0.00","0.02","0.00","24%"
"53","Chris Martin","TEX","RP","TB","0.34","0.36","0.02","0.04","3.28","1.12","0.12","0.31","0.06","0.04","0.00","0.00","0.01","0.00","53%"
"54","Lucas Erceg","KC","RP","BAL","0.39","0.43","0.02","0.06","3.77","1.39","0.16","0.35","0.16","0.03","0.00","0.00","0.02","0.00","47%"
"55","Jackson Jobe","DET","RP","CWS","4.60","3.69","0.38","0.00","4.80","1.42","2.45","4.55","1.79","0.68","0.00","0.00","0.29","0.00","60%"
"56","Porter Hodge","CHC","RP","SD","0.37","0.40","0.02","0.06","3.51","1.33","0.14","0.29","0.18","0.03","0.00","0.00","0.02","0.00","17%"
"57","Shohei Ohtani (Pitcher)","LAD","SP","@PHI","0.73","0.84","0.05","0.00","3.74","1.21","0.30","0.59","0.25","0.10","0.00","0.00","0.03","0.00","89%"
"58","Ronel Blanco","HOU","SP","@MIN","5.45","5.38","0.30","0.00","4.36","1.39","2.64","5.07","2.32","0.81","0.00","0.00","0.32","0.00","66%"
"59","Garrett Whitlock","BOS","SP","STL","0.78","0.78","0.04","0.04","3.69","1.23","0.32","0.74","0.18","0.08","0.00","0.00","0.04","0.00","4%"
"60","Ben Joyce","LAA","RP","CLE","0.38","0.45","0.02","0.05","3.54","1.33","0.15","0.30","0.18","0.04","0.00","0.00","0.02","0.00","32%"
"61","Tommy Kahnle","DET","RP","CWS","0.35","0.36","0.01","0.05","3.85","1.35","0.15","0.30","0.15","0.04","0.00","0.00","0.01","0.00","10%"
"62","Beau Brieske","DET","SP,RP","CWS","0.39","0.36","0.02","0.05","4.08","1.30","0.18","0.35","0.14","0.05","0.00","0.00","0.02","0.00","5%"
"63","Tyler Holton","DET","SP,RP","CWS","0.37","0.33","0.02","0.04","3.58","1.20","0.15","0.33","0.10","0.04","0.00","0.00","0.02","0.00","26%"
"64","Emilio Pagan","CIN","RP","@MIL","0.38","0.40","0.02","0.04","4.08","1.21","0.17","0.32","0.13","0.06","0.00","0.00","0.02","0.00","17%"
"65","Jose A. Ferrer","WSH","RP","ARI","0.37","0.32","0.02","0.04","3.87","1.33","0.16","0.35","0.12","0.04","0.00","0.00","0.02","0.00","1%"
"66","Matt Strahm","PHI","RP","LAD","0.38","0.45","0.02","0.03","3.38","1.11","0.14","0.30","0.11","0.05","0.00","0.00","0.02","0.00","15%"
"67","Edwin Uceta","TB","RP","@TEX","0.38","0.42","0.02","0.04","3.96","1.32","0.17","0.33","0.15","0.05","0.00","0.00","0.02","0.00","10%"
"68","Kirby Yates","LAD","RP","@PHI","0.36","0.45","0.02","0.03","3.58","1.24","0.14","0.26","0.17","0.04","0.00","0.00","0.01","0.00","68%"
"69","Tony Santillan","CIN","RP","@MIL","0.37","0.42","0.02","0.04","3.95","1.32","0.16","0.29","0.17","0.05","0.00","0.00","0.02","0.00","15%"
"70","Jason Adam","SD","RP","@CHC","0.39","0.46","0.02","0.03","3.15","1.19","0.14","0.29","0.14","0.04","0.00","0.00","0.02","0.00","35%"
"71","Luke Weaver","NYY","RP","@PIT","0.40","0.43","0.02","0.03","4.13","1.29","0.18","0.38","0.12","0.05","0.00","0.00","0.02","0.00","23%"
"72","Gregory Santos","SEA","RP","@SF","0.35","0.35","0.02","0.02","3.22","1.34","0.13","0.33","0.12","0.02","0.00","0.00","0.01","0.00","0%"
"73","JoJo Romero","STL","RP","@BOS","0.72","0.71","0.06","0.02","4.06","1.41","0.33","0.73","0.25","0.07","0.00","0.00","0.04","0.00","4%"
"74","Yennier Cano","BAL","RP","@KC","0.36","0.36","0.02","0.02","3.85","1.36","0.15","0.35","0.13","0.03","0.00","0.00","0.01","0.00","14%"
"75","Yimi Garcia","TOR","RP","@NYM","0.37","0.42","0.02","0.02","3.26","1.12","0.13","0.28","0.11","0.04","0.00","0.00","0.02","0.00","11%"
"76","Orion Kerkering","PHI","RP","LAD","0.39","0.46","0.02","0.02","3.19","1.20","0.14","0.32","0.13","0.04","0.00","0.00","0.02","0.00","19%"
"77","Victor Vodnik","COL","RP","ATH","0.38","0.36","0.02","0.04","5.20","1.62","0.22","0.42","0.18","0.05","0.00","0.00","0.02","0.00","0%"
"78","Colin Holderman","PIT","RP","NYY","0.37","0.37","0.02","0.03","3.98","1.40","0.16","0.34","0.16","0.04","0.00","0.00","0.02","0.00","2%"
"79","Jorge Lopez","WSH","RP","ARI","0.35","0.31","0.02","0.03","4.30","1.44","0.17","0.34","0.13","0.04","0.00","0.00","0.02","0.00","1%"
"80","Jeremiah Estrada","SD","RP","@CHC","0.37","0.50","0.02","0.02","3.16","1.20","0.13","0.27","0.16","0.04","0.00","0.00","0.02","0.00","12%"
"81","Chad Green","TOR","RP","@NYM","0.37","0.36","0.02","0.02","3.72","1.14","0.15","0.30","0.11","0.05","0.00","0.00","0.02","0.00","6%"
"82","Bryan Abreu","HOU","RP","@MIN","0.42","0.54","0.02","0.01","3.22","1.25","0.15","0.32","0.18","0.04","0.00","0.00","0.01","0.00","28%"
"83","Will Vest","DET","RP","CWS","0.40","0.39","0.02","0.02","3.59","1.26","0.16","0.36","0.13","0.04","0.00","0.00","0.02","0.00","1%"
"84","Robert Garcia","TEX","RP","TB","0.36","0.41","0.02","0.02","3.55","1.26","0.14","0.30","0.14","0.04","0.00","0.00","0.02","0.00","6%"
"85","Aaron Bummer","ATL","RP","MIA","0.36","0.42","0.03","0.01","3.14","1.35","0.13","0.32","0.15","0.02","0.00","0.00","0.02","0.00","1%"
"86","Taylor Rogers","CIN","RP","@MIL","0.35","0.39","0.02","0.02","3.91","1.31","0.15","0.29","0.14","0.04","0.00","0.00","0.02","0.00","4%"
"87","Graham Ashcraft","CIN","SP","@MIL","0.33","0.28","0.02","0.02","3.96","1.29","0.15","0.30","0.10","0.04","0.00","0.00","0.02","0.00","6%"
"88","Pierce Johnson","ATL","RP","MIA","0.38","0.46","0.03","0.01","3.51","1.31","0.15","0.32","0.16","0.04","0.00","0.00","0.02","0.00","1%"
"89","Mason Montgomery","TB","RP","@TEX","0.36","0.37","0.02","0.02","3.95","1.33","0.16","0.33","0.14","0.05","0.00","0.00","0.02","0.00","3%"
"90","Cade Smith","CLE","RP","@LAA","0.40","0.50","0.02","0.01","3.17","1.17","0.14","0.31","0.14","0.04","0.00","0.00","0.02","0.00","29%"
"91","Tyler Kinley","COL","RP","ATH","0.36","0.37","0.02","0.03","5.57","1.59","0.22","0.39","0.17","0.06","0.00","0.00","0.02","0.00","2%"
"92","Seranthony Dominguez","BAL","RP","@KC","0.37","0.40","0.02","0.02","4.34","1.35","0.18","0.34","0.15","0.04","0.00","0.00","0.02","0.00","2%"
"93","Bryan King","HOU","RP","@MIN","0.38","0.40","0.02","0.01","3.74","1.41","0.16","0.35","0.16","0.04","0.00","0.00","0.01","0.00","1%"
"94","Angel Zerpa","KC","RP","BAL","0.35","0.30","0.02","0.01","4.17","1.43","0.16","0.37","0.12","0.03","0.00","0.00","0.01","0.00","0%"
"95","Dylan Lee","ATL","RP","MIA","0.37","0.41","0.02","0.00","3.43","1.18","0.14","0.32","0.11","0.05","0.00","0.00","0.01","0.00","4%"
"96","A.J. Minter","NYM","RP","TOR","0.34","0.39","0.02","0.01","3.24","1.17","0.12","0.27","0.12","0.04","0.00","0.00","0.02","0.00","5%"
"97","Keegan Akin","BAL","RP","@KC","0.41","0.45","0.02","0.01","3.98","1.25","0.18","0.38","0.12","0.05","0.00","0.00","0.02","0.00","4%"
"98","Cole Sands","MIN","RP","HOU","0.38","0.41","0.02","0.01","3.69","1.26","0.16","0.34","0.12","0.04","0.00","0.00","0.02","0.00","2%"
"99","Hunter Harvey","KC","RP","BAL","0.35","0.38","0.02","0.01","3.78","1.30","0.15","0.33","0.11","0.03","0.00","0.00","0.02","0.00","4%"
"100","Tyler Rogers","SF","RP","SEA","0.40","0.29","0.02","0.01","3.63","1.30","0.16","0.41","0.09","0.04","0.00","0.00","0.02","0.00","11%"
"101","Paul Sewald","CLE","RP","@LAA","0.35","0.39","0.02","0.01","4.05","1.22","0.16","0.30","0.11","0.06","0.00","0.00","0.02","0.00","4%"
"102","Ryne Nelson","ARI","SP","@WSH","0.74","0.60","0.04","0.00","4.38","1.30","0.36","0.73","0.20","0.12","0.00","0.00","0.04","0.00","1%"
"103","Joel Payamps","MIL","RP","CIN","0.36","0.35","0.02","0.01","3.63","1.22","0.15","0.31","0.11","0.05","0.00","0.00","0.02","0.00","6%"
"104","Danny Coulombe","MIN","RP","HOU","0.33","0.33","0.02","0.00","3.62","1.25","0.13","0.30","0.10","0.04","0.00","0.00","0.01","0.00","1%"
"105","Gabe Speier","SEA","RP","@SF","0.33","0.36","0.02","0.00","3.45","1.30","0.13","0.30","0.11","0.03","0.00","0.00","0.01","0.00","0%"
"106","Trent Thornton","SEA","RP","@SF","0.39","0.38","0.02","0.01","3.87","1.33","0.17","0.38","0.12","0.04","0.00","0.00","0.02","0.00","0%"
"107","Adrian Morejon","SD","RP","@CHC","0.36","0.37","0.02","0.01","3.44","1.27","0.14","0.32","0.13","0.03","0.00","0.00","0.02","0.00","1%"
"108","Alex Vesia","LAD","RP","@PHI","0.35","0.44","0.02","0.01","3.62","1.21","0.14","0.26","0.15","0.05","0.00","0.00","0.02","0.00","15%"
"109","Mark Leiter Jr.","NYY","RP","@PIT","0.36","0.44","0.02","0.01","4.08","1.37","0.16","0.33","0.14","0.04","0.00","0.00","0.02","0.00","2%"
"110","Fraser Ellard","CWS","RP","@DET","0.36","0.36","0.02","0.02","4.33","1.50","0.17","0.33","0.18","0.04","0.00","0.00","0.02","0.00","0%"
"111","John Brebbia","DET","RP","CWS","0.33","0.35","0.02","0.01","4.24","1.28","0.16","0.30","0.11","0.05","0.00","0.00","0.02","0.00","0%"
"112","Eli Morgan","CHC","RP","SD","0.32","0.30","0.02","0.00","3.92","1.25","0.14","0.29","0.10","0.04","0.00","0.00","0.01","0.00","0%"
"113","Jared Koenig","MIL","SP,RP","CIN","0.37","0.36","0.02","0.01","3.69","1.29","0.15","0.32","0.14","0.04","0.00","0.00","0.02","0.00","2%"
"114","Jorge Alcala","MIN","RP","HOU","0.36","0.39","0.02","0.01","3.96","1.30","0.16","0.31","0.14","0.05","0.00","0.00","0.02","0.00","1%"
"115","Brock Burke","LAA","RP","CLE","0.38","0.39","0.02","0.01","4.08","1.35","0.17","0.36","0.14","0.05","0.00","0.00","0.02","0.00","0%"
"116","Yuki Matsui","SD","RP","@CHC","0.34","0.40","0.02","0.00","3.40","1.27","0.13","0.27","0.15","0.03","0.00","0.00","0.01","0.00","1%"
"117","Manuel Rodriguez","TB","RP","@TEX","0.36","0.36","0.02","0.01","3.75","1.36","0.15","0.33","0.14","0.04","0.00","0.00","0.02","0.00","0%"
"118","Caleb Ferguson","PIT","RP","NYY","0.37","0.38","0.02","0.01","3.72","1.40","0.15","0.34","0.15","0.03","0.00","0.00","0.02","0.00","1%"
"119","Brent Suter","CIN","SP,RP","@MIL","0.35","0.28","0.02","0.01","4.08","1.29","0.16","0.33","0.11","0.05","0.00","0.00","0.02","0.00","0%"
"120","Jakob Junis","CLE","SP,RP","@LAA","0.42","0.39","0.02","0.00","4.28","1.28","0.20","0.42","0.10","0.07","0.00","0.00","0.02","0.00","1%"
"121","Garrett Cleavinger","TB","RP","@TEX","0.35","0.41","0.02","0.01","3.83","1.37","0.15","0.29","0.16","0.04","0.00","0.00","0.02","0.00","1%"
"122","Enyel De Los Santos","ATL","RP","MIA","0.31","0.33","0.02","0.00","4.11","1.36","0.14","0.29","0.12","0.04","0.00","0.00","0.01","0.00","0%"
"123","Erik Miller","SF","SP,RP","SEA","0.36","0.44","0.02","0.01","3.28","1.34","0.13","0.28","0.19","0.03","0.00","0.00","0.02","0.00","2%"
"124","Louis Varland","MIN","SP,RP","HOU","0.42","0.42","0.02","0.00","3.98","1.31","0.19","0.41","0.12","0.05","0.00","0.00","0.02","0.00","0%"
"125","Gregory Soto","BAL","RP","@KC","0.36","0.41","0.02","0.01","3.89","1.39","0.16","0.32","0.16","0.03","0.00","0.00","0.02","0.00","0%"
"126","Scott Barlow","CIN","RP","@MIL","0.37","0.40","0.02","0.01","3.84","1.32","0.16","0.30","0.16","0.04","0.00","0.00","0.02","0.00","2%"
"127","Hayden Birdsong","SF","SP","SEA","0.63","0.68","0.04","0.00","4.02","1.39","0.28","0.56","0.29","0.07","0.00","0.00","0.04","0.00","12%"
"128","Justin Topa","MIN","RP","HOU","0.30","0.27","0.02","0.00","4.03","1.42","0.13","0.30","0.11","0.03","0.00","0.00","0.01","0.00","0%"
"129","Ryne Stanek","NYM","RP","TOR","0.36","0.41","0.02","0.01","3.77","1.30","0.15","0.28","0.17","0.05","0.00","0.00","0.02","0.00","1%"
"130","Ryan Borucki","PIT","RP","NYY","0.33","0.34","0.02","0.01","4.10","1.42","0.15","0.31","0.14","0.04","0.00","0.00","0.02","0.00","2%"
"131","Justin Sterner","ATH","RP","@COL","0.34","0.35","0.02","0.01","4.26","1.36","0.16","0.31","0.14","0.05","0.00","0.00","0.02","0.00","0%"
"132","Tyler Alexander","MIL","SP,RP","CIN","0.39","0.33","0.02","0.00","4.45","1.25","0.19","0.38","0.09","0.07","0.00","0.00","0.02","0.00","0%"
"133","Reed Garrett","NYM","RP","TOR","0.39","0.45","0.03","0.00","3.44","1.29","0.15","0.31","0.18","0.04","0.00","0.00","0.02","0.00","1%"
"134","Phil Maton","STL","RP","@BOS","0.74","0.72","0.04","0.02","4.56","1.48","0.38","0.75","0.28","0.09","0.00","0.00","0.04","0.00","1%"
"135","Ryan Fernandez","STL","RP","@BOS","0.72","0.70","0.04","0.02","4.42","1.46","0.35","0.74","0.29","0.08","0.00","0.00","0.04","0.00","0%"
"136","John Schreiber","KC","RP","BAL","0.36","0.34","0.02","0.01","4.17","1.43","0.17","0.35","0.14","0.04","0.00","0.00","0.02","0.00","1%"
