NAME	POS	MIN	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	% OVER	L5 % OVER	LAST 7 GAMES	LAST YR % OVER	OVER	UNDER
Eric Gordon	30	SG	HOU	IND	16th	reb	0.5	2	100%	100%	3,1,1,3,1,1,2	83%	-185	'+140
Myles Turner	28	C	IND	HOU	30th	blk	1.5	3.1	100%	100%	3,2,3,3,3,2,5	84%	-150	'+120
Tyrese Haliburton	33	PG	IND	HOU	30th	stl	0.5	1.9	85%	100%	3,2,3,2,2,2,3	79%	-165	'+135
Tyrese Haliburton	33	PG	IND	HOU	30th	ast	8.5	10.4	77%	100%	11,15,12,13,9,5,8	40%	-115	'+102
Luka Doncic	37	PG	DAL	DEN	13th	stl	0.5	2.1	100%	100%	3,2,2,3,2,3,2	71%	-125	-105
Spencer Dinwiddie	33	PG	DAL	DEN	25th	ast	3.5	5.1	79%	100%	10,6,6,6,5,5,7	72%	'+120	-150
Luka Doncic	37	PG	DAL	DEN	25th	ast	5.5	7.8	85%	80%	5,10,6,6,6,6,11	82%	-125	-105
Jaylen Brown	35	SG	BOS	NO	10th	reb	3.5	6.6	93%	100%	5,6,8,7,9,5,5	89%	-146	'+114
Al Horford	30	C	BOS	NO	19th	reb	5.5	6.9	58%	100%	11,11,7,6,6,5,12	79%	-104	-122
Al Horford	30	C	BOS	NO	4th	ast	1.5	2.4	67%	100%	4,4,2,2,2,5,1	85%	-120	-105
Jayson Tatum	37	SF	BOS	NO	18th	ast	3.5	4.1	67%	60%	8,1,3,5,5,2,5	68%	-125	'+100
Kelly Oubre Jr	31	SG	CHA	CLE	5th	reb	3.5	5.3	81%	100%	13,5,8,7,8,1,1	65%	-165	'+125
Mason Plumlee	26	C	CHA	CLE	7th	ast	2.5	4	88%	80%	3,2,5,5,4,5,3	65%	-125	-105
Devin Booker	36	SG	PHX	UTAH	1st	ast	3.5	5.8	86%	100%	9,5,6,10,5,3,5	68%	-115	-115
Jordan Clarkson	30	PG	UTAH	PHX	28th	3ptm	1.5	3.1	88%	100%	3,2,2,2,5,6,2	71%	-135	'+106
Jarred Vanderbilt	24	PF	UTAH	PHX	13th	reb	5.5	8.3	93%	100%	9,10,8,7,6,6,7	80%	-150	'+115
Jordan Clarkson	30	PG	UTAH	PHX	5th	ast	2.5	4.8	94%	80%	5,3,1,5,4,5,3	48%	-140	'+114
Kelly Olynyk	26	PF	UTAH	PHX	16th	ast	1.5	3.1	81%	80%	2,1,4,2,2,4,3	82%	-122	'+100
Devin Booker	36	SG	PHX	UTAH	8th	reb	3.5	4.6	64%	80%	2,8,8,4,7,3,5	74%	-115	-115
Kelly Olynyk	26	PF	UTAH	PHX	13th	reb	3.5	4.8	56%	80%	11,6,5,6,3,4,4	86%	-130	'+115
Tyrese Maxey	37	PG	PHI	MIL	8th	reb	1.5	3.4	93%	100%	3,2,4,5,3,2,3	81%	-170	'+132
Tobias Harris	33	PF	PHI	MIL	10th	reb	3.5	6.2	86%	80%	6,6,2,8,9,9,5	86%	-148	'+116
Joel Embiid	35	C	PHI	MIL	22nd	reb	8.5	10.1	70%	80%	11,10,13,10,7,5,5	85%	-125	'+100
Kristaps Porzingis	31	C	WSH	MIA	5th	3ptm	0.5	2.4	93%	100%	4,6,4,1,1,2,1	78%	-180	'+145
Kyle Kuzma	33	SF	WSH	MIA	23rd	reb	5.5	8.1	87%	100%	10,11,8,11,6,11,5	75%	-104	-110
Kyle Kuzma	33	SF	WSH	MIA	18th	3ptm	0.5	2.1	93%	100%	3,1,1,5,1,2,3	81%	-130	'+105
Bradley Beal	35	SG	WSH	MIA	7th	ast	3.5	5.7	90%	80%	6,3,5,6,8,4,6	87%	-106	-120
Kyle Kuzma	33	SF	WSH	MIA	30th	ast	1.5	3.1	80%	80%	9,3,6,6,1,2,2	81%	-138	'+110
Kristaps Porzingis	31	C	WSH	MIA	5th	reb	6.5	8.2	71%	60%	9,6,10,8,4,10,9	73%	-118	-108
Luguentz Dort	30	SF	OKC	MEM	7th	3ptm	0.5	1.6	87%	100%	3,3,2,3,2,1,0	98%	-175	'+154
Ja Morant	33	PG	MEM	OKC	21st	reb	3.5	6.2	92%	100%	8,10,5,8,9,4,9	88%	-130	'+110
Shai Gilgeous Alexander	35	PG	OKC	MEM	26th	ast	3.5	5.9	86%	100%	7,8,8,4,4,5,3	81%	-150	'+120
Josh Giddey	29	SG	OKC	MEM	18th	reb	5.5	7.2	75%	100%	6,7,10,9,15,6,6	75%	'+104	-120
Luguentz Dort	30	SF	OKC	MEM	19th	ast	0.5	2.3	87%	80%	3,1,0,2,3,2,7	87%	-145	'+115
Shai Gilgeous Alexander	35	PG	OKC	MEM	30th	reb	3.5	4.5	79%	80%	6,4,5,3,4,7,1	69%	-118	-105
Josh Giddey	29	SG	OKC	MEM	15th	ast	3.5	5.2	75%	80%	2,4,12,5,6,2,2	82%	-115	-105
Dillon Brooks	29	SF	MEM	OKC	29th	reb	2.5	3.4	58%	80%	2,4,4,5,7,5,4	0%	-113	-113
Jalen Suggs	29	SG	ORL	CHI	16th	ast	3.5	5.2	80%	100%	6,7,5,4,6,7,9	62%	-105	-125
Zach Lavine	33	SG	CHI	ORL	27th	3ptm	1.5	3.1	91%	80%	4,1,3,4,2,2,5	81%	-120	-110
Franz Wagner	34	SF	ORL	CHI	15th	reb	3.5	4.3	60%	80%	6,6,6,3,5,3,3	70%	-155	'+120
Stephen Curry	34	PG	GS	NY	24th	reb	3.5	6.8	93%	100%	9,5,6,4,8,3,13	80%	-148	'+120
Draymond Green	29	PF	GS	NY	12th	ast	4.5	6.7	79%	100%	8,6,11,13,6,7,3	84%	-150	'+120
Andrew Wiggins	33	SF	GS	NY	20th	ast	0.5	2.3	93%	80%	1,1,2,0,2,3,5	89%	-190	'+155
Julius Randle	33	PF	NY	GS	22nd	reb	6.5	8.9	73%	80%	11,5,10,8,11,8,9	81%	-125	-102
Andrew Wiggins	33	SF	GS	NY	28th	reb	3.5	5.5	79%	80%	2,4,4,6,10,3,4	80%	-110	-115
Klay Thompson	28	SG	GS	NY	26th	ast	1.5	2.4	83%	80%	2,3,1,3,3,2,3	63%	'+110	-130
Klay Thompson	28	SG	GS	NY	24th	reb	2.5	3.5	67%	80%	5,7,5,2,4,3,4	70%	'+100	-120
Stephen Curry	34	PG	GS	NY	23rd	ast	4.5	6.4	71%	80%	6,5,4,5,8,9,13	70%	'+115	-128
Julius Randle	33	PF	NY	GS	25th	ast	2.5	3.3	60%	80%	4,1,3,5,3,3,2	86%	-113	-113
