NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Bam Adebayo	C	35	'+310	A	MIA	DEN	11th	blk	0.5	0.8	0.74 - 0.86	0.75 - 0.84	57%	67%	80%	1,1,2,0,1,1,0,1,0,0	49%	-175	'+140
Aaron Gordon	PF	31	-380	H	DEN	MIA	8th	blk	0.5	0.7	0.7 - 0.81	0.72 - 0.74	53%	53%	60%	0,0,1,1,2,1,1,0,0,2	51%	-105	-125
Nikola Jokic	C	34	-380	H	DEN	MIA	5th	blk	0.5	0.8	0.78 - 0.71	0.76 - 0.76	51%	73%	80%	3,2,0,1,3,0,0,2,1,2	57%	-175	'+140
Bruce Brown	SF	28	-380	H	DEN	MIA	1st	blk	0.5	0.6	0.65 - 0.52	0.62 - 0.59	43%	33%	40%	1,3,0,0,0,0,1,0,1,0	43%	'+130	-160
Michael Porter Jr	SF	29	-380	H	DEN	MIA	1st	blk	0.5	0.5	0.46 - 0.58	0.56 - 0.44	39%	40%	40%	0,0,0,2,1,0,0,2,0,0	17%	'+165	-205
Kentavious Caldwell Pope	SG	31	-380	H	DEN	MIA	14th	blk	0.5	0.5	0.44 - 0.5	0.53 - 0.39	36%	40%	60%	2,0,1,0,1,0,0,1,1,2	27%	'+120	-150
Caleb Martin	SF	29	'+310	A	MIA	DEN	7th	blk	0.5	0.4	0.33 - 0.52	0.47 - 0.36	36%	47%	40%	0,0,1,1,0,1,1,0,1,1	35%	'+150	-185
Kyle Lowry	PG	29	'+310	A	MIA	DEN	8th	blk	0.5	0.4	0.39 - 0.5	0.57 - 0.29	36%	47%	0%	0,0,0,0,0,1,0,0,1,1	25%	'+235	-300
Jimmy Butler	SF	35	'+310	A	MIA	DEN	7th	blk	0.5	0.4	0.53 - 0.27	0.37 - 0.47	30%	53%	60%	1,1,0,1,0,0,1,0,2,0	39%	-115	-115
Jeff Green	PF	19	-380	H	DEN	MIA	8th	blk	0.5	0.3	0.38 - 0.19	0.23 - 0.4	27%	20%	20%	0,0,0,0,1,0,0,0,0,0	35%	'+275	-355
Kevin Love	PF	18	'+310	A	MIA	DEN	13th	blk	0.5	0.2	0.25 - 0.24	0.32 - 0.18	22%	13%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+380	-520
Christian Braun	G	14	-380	H	DEN	MIA	14th	blk	0.5	0.2	0.18 - 0.27	0.2 - 0.21	20%	13%	20%	1,0,0,0,0,0,1,0,0,0	0%	'+265	-345
Jamal Murray	PG	34	-380	H	DEN	MIA	5th	blk	0.5	0.2	0.21 - 0.32	0.22 - 0.26	19%	20%	20%	0,0,0,0,1,0,0,1,0,0	0%	'+220	-280
Max Strus	SG	28	'+310	A	MIA	DEN	13th	blk	0.5	0.2	0.2 - 0.15	0.17 - 0.18	15%	27%	40%	0,1,1,0,0,0,0,0,0,0	21%	'+430	-600
Gabe Vincent	PG	27	'+310	A	MIA	DEN	8th	blk	0.5	0.1	0.06 - 0.15	0.07 - 0.13	10%	27%	20%	0,0,0,1,0,1,0,1,0,1	16%	'+430	-600
Duncan Robinson	F	16	'+310	A	MIA	DEN	13th	blk	0.5	0.0	0.03 - 0.0	0.03 - 0.0	2%	7%	20%	0,0,0,0,1,0,0,0,0,0	15%	'+900	-1700