EV	EV Book	Game	Player	Prop	FD	DK	MGM	Bet365	ESPN	PN	Kambi	CZ
-1.0	145 FD	KC @ PHI	Kareem Hunt	attd	145	140	140	140	130	129/-157	140	140
-1.0	350 365	KC @ PHI	Dallas Goedert	attd	320	285	333	350	300	297/-390	280	300
-1.4	-120 MGM	KC @ PHI	Jalen Hurts	attd	-120	-120	-120	-120	-120	-135/111	-130	-120
-1.5	370 FD	KC @ PHI	Isiah Pacheco	attd	370	265	275	300	325	324/-431	250	360
-2.2	400 FD	KC @ PHI	Patrick Mahomes	attd	400	295	250	280	325	352/-475	330	400
-3.0	-10000 	KC @ PHI	Grant Calcaterra	no td	2600	2500	3000	2200	1500	1487/-6389	2500	3000
-3.5	155 BR	KC @ PHI	Xavier Worthy	attd	155	155	155	150	150	143/-175	155	155
-4.3	-190 CZ	KC @ PHI	Saquon Barkley	attd	-195	-195	-200	-200	-200	-186/152	-225	-190
-4.7	250 MGM	KC @ PHI	Devonta Smith	attd	230	250	250	250	250	227/-288	225	240
-5.1	-10000 	KC @ PHI	Jahan Dotson	no td	1700	1600	1600	1200	1400	1331/-4389	1400	1600
-5.7	140 FD	KC @ PHI	Saquon Barkley	1h_attd	140	-	-	-	-	-	132	-
-6.1	135 DK	KC @ PHI	Travis Kelce	attd	125	135	130	125	130	140/-171	125	130
-7.0	185 DK	KC @ PHI	Aj Brown	attd	180	185	180	175	175	186/-231	165	175
-7.3	-10000 	KC @ PHI	Samaje Perine	no td	1000	1300	1400	1000	1000	920/-1883	1100	900
-7.9	210 FD	KC @ PHI	Jalen Hurts	1h_attd	210	-	-	-	-	-	195	-
-8.1	185 FD	KC @ PHI	Saquon Barkley	team_ftd	185	-	-	-	-	-	175	-
-9.5	290 BR	KC @ PHI	Saquon Barkley	2+td	250	-	275	230	275	-	290	275
-11.3	600 MGM	KC @ PHI	Juju Smith Schuster	attd	600	500	600	450	550	518/-776	575	550
-12.0	1400 MGM	KC @ PHI	Samaje Perine	attd	1000	1300	1400	1000	1000	920/-1883	1100	900
-12.1	550 ESPN	KC @ PHI	Deandre Hopkins	attd	500	425	500	450	550	494/-728	500	550
-13.0	280 FD	KC @ PHI	Jalen Hurts	team_ftd	280	-	-	-	-	-	265	-
-13.7	290 FD	KC @ PHI	Marquise Brown	attd	290	265	275	275	-	-	280	280
-14.1	-10000 	KC @ PHI	Juju Smith Schuster	no td	600	500	600	450	550	518/-776	575	550
-15.2	-10000 	KC @ PHI	Deandre Hopkins	no td	500	425	500	450	550	494/-728	500	550
-15.4	-10000 	KC @ PHI	Noah Gray	no td	500	475	500	425	500	508/-755	475	500
-15.8	300 FD	KC @ PHI	Travis Kelce	1h_attd	300	-	-	-	-	-	290	-
-17.7	330 FD	KC @ PHI	Kareem Hunt	1h_attd	330	-	-	-	-	-	320	-
-19.0	350 FD	KC @ PHI	Xavier Worthy	1h_attd	350	-	-	-	-	-	340	-
-20.3	500 MGM	KC @ PHI	Noah Gray	attd	500	475	500	425	500	508/-755	475	500
-20.4	420 FD	KC @ PHI	Saquon Barkley	ftd	420	-	400	350	-	-	410	420
-21.2	-10000 	KC @ PHI	Patrick Mahomes	no td	400	295	250	280	325	352/-475	330	400
-22.3	400 FD	KC @ PHI	Travis Kelce	team_ftd	400	-	-	-	-	-	390	-
-22.4	-10000 	KC @ PHI	Isiah Pacheco	no td	370	265	275	300	325	324/-431	250	360
-22.7	370 BR	KC @ PHI	Aj Brown	1h_attd	370	-	-	-	-	-	370	-
-22.8	-10000 	KC @ PHI	Dallas Goedert	no td	320	285	333	350	300	297/-390	280	300
-23.8	650 FD	KC @ PHI	Isiah Pacheco	1h_attd	650	-	-	-	-	-	550	-
-24.4	490 FD	KC @ PHI	Xavier Worthy	team_ftd	490	-	-	-	-	-	460	-
-25.0	440 FD	KC @ PHI	Kareem Hunt	team_ftd	440	-	-	-	-	-	430	-
-26.0	550 FD	KC @ PHI	Jalen Hurts	2+td	550	-	475	500	500	-	500	550
-26.1	650 MGM	KC @ PHI	Jalen Hurts	ftd	550	-	650	550	-	-	575	575
-27.7	-10000 	KC @ PHI	Devonta Smith	no td	230	250	250	250	250	227/-288	225	240
-28.9	600 BR	KC @ PHI	Marquise Brown	1h_attd	550	-	-	-	-	-	600	-
-29.6	510 BR	KC @ PHI	Aj Brown	team_ftd	500	-	-	-	-	-	510	-
-30.8	500 BR	KC @ PHI	Devonta Smith	1h_attd	500	-	-	-	-	-	500	-
-33.4	-10000 	KC @ PHI	Aj Brown	no td	180	185	180	175	175	186/-231	165	175
-36.7	700 BR	KC @ PHI	Devonta Smith	team_ftd	650	-	-	-	-	-	700	-
-37.3	600 BR	KC @ PHI	Dallas Goedert	1h_attd	600	-	-	-	-	-	600	-
-37.8	-10000 	KC @ PHI	Xavier Worthy	no td	155	155	155	150	150	143/-175	155	155
-40.2	-10000 	KC @ PHI	Travis Kelce	no td	125	135	130	125	130	140/-171	125	130
-40.2	-10000 	KC @ PHI	Kareem Hunt	no td	145	140	140	140	130	129/-157	140	140
-40.4	3000 MGM	KC @ PHI	Grant Calcaterra	attd	2600	2500	3000	2200	1500	1487/-6389	2500	3000
-41.5	850 BR	KC @ PHI	Marquise Brown	team_ftd	750	-	-	-	-	-	850	-
-41.5	850 FD	KC @ PHI	Isiah Pacheco	team_ftd	850	-	-	-	-	-	750	-
-47.6	750 BR	KC @ PHI	Patrick Mahomes	1h_attd	750	-	-	-	-	-	750	-
-48.2	1700 FD	KC @ PHI	Jahan Dotson	attd	1700	1600	1600	1200	1400	1331/-4389	1400	1600
-48.5	850 BR	KC @ PHI	Dallas Goedert	team_ftd	800	-	-	-	-	-	850	-
-49.5	1000 MGM	KC @ PHI	Travis Kelce	ftd	900	-	1000	750	-	-	900	900
-51.3	1600 FD	KC @ PHI	Saquon Barkley	3+td	1600	-	-	900	-	-	1200	950
-51.9	1000 MGM	KC @ PHI	Travis Kelce	2+td	950	-	1000	850	800	-	900	900
-53.5	-10000 	KC @ PHI	Jalen Hurts	no td	-120	-120	-120	-120	-120	-135/111	-130	-120
-56.1	1000 CZ	KC @ PHI	Kareem Hunt	ftd	950	-	900	900	-	-	900	1000
-57.3	1100 MGM	KC @ PHI	Kareem Hunt	2+td	1000	-	1100	1100	900	-	900	850
-60.6	1200 MGM	KC @ PHI	Xavier Worthy	ftd	1000	-	1200	900	-	-	1000	1100
-61.6	1200 MGM	KC @ PHI	Justin Watson	attd	1100	1100	1200	800	1000	-	950	1100
-62.6	950 BR	KC @ PHI	Noah Gray	1h_attd	950	-	-	-	-	-	950	-
-63.4	-10000 	KC @ PHI	Saquon Barkley	no td	-195	-195	-200	-200	-200	-186/152	-225	-190
-66.6	1000 BR	KC @ PHI	Patrick Mahomes	team_ftd	1000	-	-	-	-	-	1000	-
-66.6	1000 BR	KC @ PHI	Deandre Hopkins	1h_attd	1000	-	-	-	-	-	1000	-
-71.0	1300 MGM	KC @ PHI	Aj Brown	ftd	1100	-	1300	1100	-	-	1100	1100
-73.0	1400 MGM	KC @ PHI	Xavier Worthy	2+td	1200	-	1400	1200	1000	-	1150	1100
-75.1	1100 BR	KC @ PHI	Juju Smith Schuster	1h_attd	1100	-	-	-	-	-	1100	-
-82.1	1400 BR	KC @ PHI	Noah Gray	team_ftd	1200	-	-	-	-	-	1400	-
-82.1	1400 BR	KC @ PHI	Deandre Hopkins	team_ftd	1200	-	-	-	-	-	1400	-
-87.5	1400 MGM	KC @ PHI	Kenneth Gainwell	attd	1300	1400	1400	1200	1300	-	1150	1100
-91.5	1600 365	KC @ PHI	Aj Brown	2+td	1400	-	1400	1600	1200	-	1200	1200
