EV	EV Book	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	ESPN	PN	Kambi	CZ	AVG	% Over	Splits
32.8	830 FD	KC @ PHI	Patrick Mahomes	pass_td	o 3.5	'+830	-	-	-	-	-	-	420	1.6	0%	1,2,2,1,0,0,2,3,1,3,3,1,1,2,1,3
32.7	730 FD	KC @ PHI	Noah Gray	rec_yd	o 39.5	'+730	-	-	-	-	-	-	380	27.3	25%	37,13,40,29,66,23,0,18,23,66,58,26,21,10,6,1
29.5	710 FD	KC @ PHI	Xavier Worthy	rec_yd	o 99.5	'+710	-	-	-	-	-	-	380	39.9	0%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
26.1	470 FD	KC @ PHI	Xavier Worthy	rec_yd	o 89.5	'+470	-	-	-	-	-	-	275	39.9	0%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
24.6	980 FD	KC @ PHI	Xavier Worthy	rec_yd	o 109.5	'+980	-	-	-	-	-	-	500	39.9	0%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
19.4	154 FD	KC @ PHI	Travis Kelce	rec_yd	o 69.5	'+154	-	-	-	-	-	-	-103	51.4	31%	34,5,30,89,70,17,90,100,64,8,62,68,45,27,30,84
18.8	300 FD	KC @ PHI	Xavier Worthy	rec_yd	o 79.5	'+300	-	-	-	-	-	-	195	39.9	0%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
17.8	-127 BR	KC @ PHI	Jalen Hurts	pass_cmp	o 17.5	-	-	-	-	-	-	-127/-103	-240	16.5	46%	20,23,29,18,16,10,16,18,14,18,15,11,14,25,1
16.2	470 FD	KC @ PHI	Juju Smith Schuster	rec_yd	o 39.5	'+470	-	-	-	-	-	-	300	21.0	9%	0,17,130,8,6,10,31,7,0,18,4
15.0	360 FD	KC @ PHI	Kareem Hunt	rush+rec	o 79.5	'+360	-	-	-	-	-	-	240	69.5	45%	85,117,83,63,117,100,79,68,28,20,69
13.1	880 FD	KC @ PHI	Dallas Goedert	rec_yd	o 99.5	'+880	-	-	-	-	-	-	500	49.6	10%	31,38,170,62,0,25,61,19,35,55
12.8	235 FD	KC @ PHI	Travis Kelce	rec_yd	o 79.5	'+235	-	-	-	-	-	-	165	51.4	25%	34,5,30,89,70,17,90,100,64,8,62,68,45,27,30,84
12.6	198 FD	KC @ PHI	Xavier Worthy	rec_yd	o 69.5	'+198	-	-	-	-	-	-	140	39.9	12%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
12.2	390 FD	KC @ PHI	Dallas Goedert	rec_yd	o 79.5	'+390	-	-	-	-	-	-	265	49.6	10%	31,38,170,62,0,25,61,19,35,55
11.8	820 FD	KC @ PHI	Juju Smith Schuster	rec_yd	o 49.5	'+820	-	-	-	-	-	-	480	21.0	9%	0,17,130,8,6,10,31,7,0,18,4
11.5	150 365	KC @ PHI	Jalen Carter	tackles+ast	o 3.5	-	-	-	'+150	-	-	108/-141	-	2.6	37%	3,1,4,1,1,4,0,4,4,7,1,4,3,2,3,0
11.0	360 FD	KC @ PHI	Travis Kelce	rec_yd	o 89.5	'+360	-	-	-	-	-	-	250	51.4	12%	34,5,30,89,70,17,90,100,64,8,62,68,45,27,30,84
10.4	165 365	KC @ PHI	Jalen Hurts	pass_att	o 29.5	-	-	-	'+165	-	-	-	120	24.1	33%	34,30,38,30,25,14,20,24,20,28,22,19,21,32,4
10.3	590 FD	KC @ PHI	Deandre Hopkins	rec_yd	o 39.5	'+590	-	-	-	-	-	-	380	38.1	31%	8,9,73,31,54,-2,29,86,56,29,35,90,32,36,37,7
10.2	570 FD	KC @ PHI	Dallas Goedert	rec_yd	o 89.5	'+570	-	-	-	-	-	-	370	49.6	10%	31,38,170,62,0,25,61,19,35,55
8.5	126 FD	KC @ PHI	Xavier Worthy	rec_yd	o 59.5	'+126	-	-	-	-	-	-	-107	39.9	25%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
8.5	280 BR	KC @ PHI	Saquon Barkley	rush+rec	o 159.5	-	-	-	-	-	-	280/-420	205	142.7	31%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
8.4	390 FD	KC @ PHI	Marquise Brown	rec_yd	o 69.5	'+390	-	-	-	-	-	-	275	-	-	-
8.0	163 BR	KC @ PHI	Kareem Hunt	rush+rec	o 59.5	'+145	-	-	-	-	-	163/-220	100	69.5	81%	85,117,83,63,117,100,79,68,28,20,69
7.8	220 FD	KC @ PHI	Kareem Hunt	rush+rec	o 69.5	'+220	-	-	-	-	-	-	165	69.5	54%	85,117,83,63,117,100,79,68,28,20,69
7.5	-121 BR	KC @ PHI	Jalen Hurts	pass_yd	o 199.5	-158	-	-	-	-	-	-121/-108	-185	193.5	53%	278,183,311,158,264,114,236,230,202,221,179,118,108,290,11
7.2	590 FD	KC @ PHI	Marquise Brown	rec_yd	o 79.5	'+590	-	-	-	-	-	-	390	-	-	-
6.6	200 BR	KC @ PHI	Isiah Pacheco	rush+rec	o 39.5	'+160	-	-	-	-	-	200/-278	145	55.6	83%	78,111,49,61,47,25
6.3	-105 FD	KC @ PHI	Samaje Perine	rec_yd	o 7.5	-105/-115	-	-140/+105	-	-	-	-	-	18.9	93%	10,3,15,24,22,30,25,37,8,11,15,16,23,50,20,13
6.3	155 CZ	KC @ PHI	Patrick Mahomes	pass+rush	o 299.5	'+120	-	-	-	-	-	-	155	264.7	20%	294,180,234,257,353,193,279,300,285,256,273,323,224,192,272
6.2	340 FD	KC @ PHI	Jalen Hurts	rush_yd	o 59.5	'+340	-	-	-	-	-	-	250	42.0	13%	33,85,25,20,33,22,37,67,56,39,39,29,59,45,41
5.5	130 365	KC @ PHI	Jalen Hurts	pass_cmp	o 19.5	-	-	-	'+130	-	-	-	102	16.5	26%	20,23,29,18,16,10,16,18,14,18,15,11,14,25,1
5.1	240 FD	KC @ PHI	Marquise Brown	rec_yd	o 59.5	'+240	-	-	-	-	-	-	185	-	-	-
5.0	110 365	KC @ PHI	Reed Blankenship	tackles+ast	o 6.5	-	-	-	'+110/-140	-	-	-114/-114	-	5.2	26%	8,10,2,5,3,4,9,5,4,10,3,4,3,5,3
4.8	260 BR	KC @ PHI	Patrick Mahomes	pass_td	o 2.5	'+240	-	-	-	-	-	260/-375	160	1.6	25%	1,2,2,1,0,0,2,3,1,3,3,1,1,2,1,3
4.7	105 MGM	KC @ PHI	Samaje Perine	rec_yd	u 7.5	-105/-115	-	-140/+105	-	-	-	-	-	18.9	6%	10,3,15,24,22,30,25,37,8,11,15,16,23,50,20,13
4.6	245 FD	KC @ PHI	Dallas Goedert	rec_yd	o 69.5	'+245	-	-	-	-	-	-	190	49.6	10%	31,38,170,62,0,25,61,19,35,55
4.1	-152 BR	KC @ PHI	Saquon Barkley	rush+rec	o 119.5	-	-	-	-	-	-	-152/117	-205	142.7	56%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
4.0	-110 FD	KC @ PHI	Saquon Barkley	longest_rush	o 23.5	-110/-110	-	-140/+105	-	-	-	-	-	34.5	50%	34,11,65,59,10,55,19,21,11,39,72,25,18,22,68,23
4.0	-110 FD	KC @ PHI	Aj Brown	rec_yd	o 69.5	-110/-110	-	-	-	-	-	-	-140	83.0	61%	119,116,89,84,36,109,65,109,66,43,110,97,36
3.9	158 FD	KC @ PHI	Dallas Goedert	rec_yd	o 59.5	'+158	-	-	-	-	-	-	127	49.6	30%	31,38,170,62,0,25,61,19,35,55
3.9	260 365	KC @ PHI	Aj Brown	rec	o 6.5	'+210	-	-	'+260	-	-	200/-275	220	5.2	15%	5,6,5,5,2,5,5,6,5,4,8,8,3
3.6	920 FD	KC @ PHI	Marquise Brown	rec_yd	o 89.5	'+920	-	-	-	-	-	-	550	-	-	-
3.6	133 BR	KC @ PHI	Drue Tranquill	tackles+ast	o 7.5	-	-	-	'+110/-140	-	-	133/-175	-	5.9	18%	4,7,3,10,5,3,6,7,4,8,4,5,7,5,7,9
3.4	-114 BR	KC @ PHI	Reed Blankenship	tackles+ast	u 6.5	-	-	-	'+110/-140	-	-	-114/-114	-	5.2	73%	8,10,2,5,3,4,9,5,4,10,3,4,3,5,3
3.0	-115 BR	KC @ PHI	Kareem Hunt	rush+rec	o 49.5	-120	-	-	-	-	-	-115/-113	-180	69.5	81%	85,117,83,63,117,100,79,68,28,20,69
2.8	260 CZ	KC @ PHI	Patrick Mahomes	pass+rush	o 324.5	'+205	-	-	-	-	-	-	260	264.7	6%	294,180,234,257,353,193,279,300,285,256,273,323,224,192,272
2.7	120 FD	KC @ PHI	Xavier Worthy	rush+rec	o 69.5	'+120	'+101/-126	-	-	-	-	-	105	46.4	12%	68,22,30,76,30,9,44,5,16,91,56,64
2.6	140 BR	KC @ PHI	Saquon Barkley	rush+rec	o 139.5	-	-	-	-	-	-	140/-182	115	142.7	43%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
2.6	120 365	KC @ PHI	Isiah Pacheco	rush_att	o 6.5	-	-	'+100/-130	'+120/-150	-	-	-	-	11.9	85%	15,19,7,14,13,9,6
2.5	105 MGM	KC @ PHI	Saquon Barkley	longest_rush	u 23.5	-110/-110	-	-140/+105	-	-	-	-	-	34.5	50%	34,11,65,59,10,55,19,21,11,39,72,25,18,22,68,23
2.5	105 MGM	KC @ PHI	Kenneth Gainwell	rush_yd	u 6.5	-110/-110	-	-140/+105	-	-	-	-	-115/-115	17.1	20%	2,6,9,23,56,19,9,30,43,22,26,20,7,4,14
2.4	-140 365	KC @ PHI	Drue Tranquill	tackles+ast	u 7.5	-	-	-	'+110/-140	-	-	133/-175	-	5.9	81%	4,7,3,10,5,3,6,7,4,8,4,5,7,5,7,9
2.3	540 FD	KC @ PHI	Travis Kelce	rec_yd	o 99.5	'+540	-	-	-	-	-	-	380	51.4	6%	34,5,30,89,70,17,90,100,64,8,62,68,45,27,30,84
1.9	-115 BR	KC @ PHI	Isiah Pacheco	rush_yd	o 20.5	-	-	-	-	-	-133/110	-115/-113	-	44.3	85%	45,90,44,55,32,26,18
1.8	-110 FD	KC @ PHI	Saquon Barkley	rec_yd	o 13.5	-110/-110	-117/-104	-140/+105	-	-	-131/108	-	-	17.4	37%	23,21,9,32,7,11,3,40,12,52,47,10,0,9,0,2
1.8	138 FD	KC @ PHI	Aj Brown	rec_yd	o 79.5	'+138	-	-	-	-	-	-	115	83.0	61%	119,116,89,84,36,109,65,109,66,43,110,97,36
1.6	-117 BR	KC @ PHI	Isiah Pacheco	rush_att	o 5.5	-138/+106	-141/+114	-	-	-	-138/113	-117/-112	-135/105	11.9	100%	15,19,7,14,13,9,6
1.6	165 BR	KC @ PHI	Kareem Hunt	rec	o 1.5	'+142/-188	'+147/-184	'+135/-185	'+140/-170	-	-	165/-220	140/-170	1.8	54%	2,1,2,1,1,7,3,2,1,1,2
1.6	-110 FD	KC @ PHI	Juju Smith Schuster	rec_yd	o 16.5	-110/-110	-	-135/+100	-	-	-	-	-130/100	21.0	36%	0,17,130,8,6,10,31,7,0,18,4
1.6	102 FD	KC @ PHI	Devonta Smith	rec	o 4.5	'+102/-132	-111/-112	-125/-105	-120/-110	-	-	-118/-110	-105/-125	5.2	53%	7,7,7,3,1,6,4,2,4,4,11,6,6
1.5	-132 FD	KC @ PHI	Xavier Worthy	rec_yd	o 49.5	-132	-	-	-	-	-	-159/120	-170	39.9	31%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
1.4	-104 FD	KC @ PHI	Dallas Goedert	rec_yd	o 49.5	-104	-	-130/-105	-	-	-	-127/-103	-115/-115	49.6	40%	31,38,170,62,0,25,61,19,35,55
1.2	-109 BR	KC @ PHI	Saquon Barkley	rush_att	o 21.5	-128/-102	-122/-102	-130/+100	-130/+100	-	-	-109/-120	-130/100	21.6	56%	24,22,17,10,18,17,22,27,14,26,26,23,20,19,29,31
1.2	-210 FD	KC @ PHI	Saquon Barkley	rush+rec	o 109.5	-210	-	-	-	-	-	-	-275	142.7	81%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
1.2	-440 FD	KC @ PHI	Patrick Mahomes	pass_yd	o 199.5	-440	-	-	-	-	-	-	-750	245.5	75%	291,151,217,245,331,154,262,291,266,196,269,306,210,159,260,320
1.2	160 BR	KC @ PHI	Marquise Brown	rec_yd	o 49.5	'+152	-	-	-	-	-	160/-210	117	-	-	-
1.0	115 365	KC @ PHI	Xavier Worthy	rush_att	o 1.5	-	-101/-123	'+105/-140	'+115/-145	-	-	-103/-127	-105/-125	1.2	41%	1,1,3,1,1,2,1,1,1,3,3,2
1.0	102 BR	KC @ PHI	Samaje Perine	longest_rec	o 7.5	-	-115/-115	-	-	-	-	102/-134	-	15.4	93%	10,3,8,15,22,21,11,35,11,13,10,16,23,36,14,13
1.0	150 MGM	KC @ PHI	Patrick Mahomes	pass_td	u 1.5	-154/+126	-168/+137	-200/+150	-	-	-	-159/123	-170/140	1.6	50%	1,2,2,1,0,0,2,3,1,3,3,1,1,2,1,3
1.0	550 FD	KC @ PHI	Kareem Hunt	rush+rec	o 89.5	'+550	-	-	-	-	-	-	390	69.5	27%	85,117,83,63,117,100,79,68,28,20,69
0.9	-140 FD	KC @ PHI	Travis Kelce	rec	o 5.5	-140	-	-	-180	-	-	-165/125	-180	6.1	50%	3,1,4,7,9,4,10,14,8,2,6,7,5,4,5,8
0.8	-122 FD	KC @ PHI	Xavier Worthy	rush_yd	o 5.5	-122/+100	-	-145/+110	-	-	-	-	-	6.5	50%	21,5,13,3,5,-10,7,5,5,30,10,10
0.7	-130 MGM	KC @ PHI	Isiah Pacheco	rush_att	u 6.5	-	-	'+100/-130	'+120/-150	-	-	-	-	11.9	14%	15,19,7,14,13,9,6
0.6	-102 FD	KC @ PHI	Travis Kelce	longest_rec	o 19.5	-102/-128	-115/-115	-120/-110	-	-	-	-125/-105	-115/-115	18.1	56%	23,5,17,38,21,7,25,20,22,6,27,24,13,8,14,20
0.5	-230 FD	KC @ PHI	Xavier Worthy	rec_yd	o 39.5	-230	-	-	-	-	-	-	-300	39.9	56%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
0.5	125 365	KC @ PHI	Aj Brown	rec	o 5.5	'+116	'+111/-138	-	'+125	-	-	104/-136	111	5.2	30%	5,6,5,5,2,5,5,6,5,4,8,8,3
0.4	-168 FD	KC @ PHI	Aj Brown	rec_yd	o 59.5	-168	-	-	-	-	-	-	-207	83.0	76%	119,116,89,84,36,109,65,109,66,43,110,97,36
0.3	-115 DK	KC @ PHI	Samaje Perine	longest_rec	u 7.5	-	-115/-115	-	-	-	-	102/-134	-	15.4	6%	10,3,8,15,22,21,11,35,11,13,10,16,23,36,14,13
0.3	215 BR	KC @ PHI	Jalen Hurts	rush_yd	o 49.5	'+205	-	-	-	-	-	215/-305	150	42.0	26%	33,85,25,20,33,22,37,67,56,39,39,29,59,45,41
0.3	-110 FD	KC @ PHI	Isiah Pacheco	rush+rec	u 30.5	-110/-110	'+100/-124	-	-	-	-	-	-	55.6	16%	78,111,49,61,47,25
0.2	100 CZ	KC @ PHI	Juju Smith Schuster	longest_rec	u 11.5	-108/-120	-	-120/-110	-	-	-	-	-130/100	12.5	63%	0,13,50,8,6,10,26,7,0,13,4
0.2	-108 FD	KC @ PHI	Juju Smith Schuster	longest_rec	o 11.5	-108/-120	-	-120/-110	-	-	-	-	-130/100	12.5	36%	0,13,50,8,6,10,26,7,0,13,4
0.2	150 BR	KC @ PHI	Aj Brown	rec	u 4.5	-168/+128	-	-165/+130	-160/+130	-	-	-200/150	-170/140	5.2	23%	5,6,5,5,2,5,5,6,5,4,8,8,3
0.1	-105 FD	KC @ PHI	Travis Kelce	rec_yd	o 59.5	-105	-	-	-	-	-	-113/-115	-150	51.4	50%	34,5,30,89,70,17,90,100,64,8,62,68,45,27,30,84
0.0	100 CZ	KC @ PHI	Patrick Mahomes	longest_pass	o 35.5	-	-	-115/-115	-	-	-	-	100/-130	-	-	-
-0.0	124 FD	KC @ PHI	Jalen Hurts	pass_yd	o 224.5	'+124	-	-	-	-	-	-	107	193.5	40%	278,183,311,158,264,114,236,230,202,221,179,118,108,290,11
-0.0	100 DK	KC @ PHI	Isiah Pacheco	rush+rec	o 30.5	-110/-110	'+100/-124	-	-	-	-	-	-	55.6	83%	78,111,49,61,47,25
0.0	-176 FD	KC @ PHI	Dallas Goedert	rec_yd	o 39.5	-176	-	-	-	-	-	-	-215	49.6	40%	31,38,170,62,0,25,61,19,35,55
-0.0	-132 FD	KC @ PHI	Patrick Mahomes	pass_cmp	o 23.5	-132/+102	-	-	-	-	-134/111	-	-220	24.5	62%	20,18,26,19,28,16,27,34,28,23,27,26,24,19,28,29
-0.1	-440 FD	KC @ PHI	Saquon Barkley	rush+rec	o 89.5	-440	-	-	-	-	-	-	-675	142.7	81%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
-0.1	102 BR	KC @ PHI	Patrick Mahomes	pass_cmp	o 24.5	-	-102/-122	-110/-118	-115/-115	-	-	102/-132	-120/-110	24.5	56%	20,18,26,19,28,16,27,34,28,23,27,26,24,19,28,29
-0.2	109 DK	KC @ PHI	Marquise Brown	rec	u 3.5	-122/-106	-135/+109	-130/+100	-125/-105	-	-	-121/-108	-125/-105	-	-	-
-0.3	110 MGM	KC @ PHI	Xavier Worthy	rush_yd	u 5.5	-122/+100	-	-145/+110	-	-	-	-	-	6.5	50%	21,5,13,3,5,-10,7,5,5,30,10,10
-0.3	-110 FD	KC @ PHI	Kenneth Gainwell	rush_yd	o 6.5	-110/-110	-	-140/+105	-	-	-	-	-115/-115	17.1	80%	2,6,9,23,56,19,9,30,43,22,26,20,7,4,14
-0.4	-105 CZ	KC @ PHI	Jalen Hurts	longest_pass	o 34.5	-	-	-120/-110	-	-	-	-	-105/-125	-	-	-
-0.5	-320 FD	KC @ PHI	Travis Kelce	rec_yd	o 39.5	-320	-	-	-	-	-	-	-430	51.4	56%	34,5,30,89,70,17,90,100,64,8,62,68,45,27,30,84
-0.5	-135 365	KC @ PHI	Travis Kelce	rec	u 6.5	'+122/-160	'+122/-152	'+120/-160	'+105/-135	-	-	115/-150	120/-150	6.1	56%	3,1,4,7,9,4,10,14,8,2,6,7,5,4,5,8
-0.5	-162 FD	KC @ PHI	Saquon Barkley	rush_yd	o 99.5	-162	-	-	-	-	-	-182/140	-220	125.3	68%	109,95,147,84,47,176,108,159,66,146,255,107,124,65,150,167
-0.5	420 FD	KC @ PHI	Patrick Mahomes	rush_yd	o 49.5	'+420	-	-	-	-	-	-	320	19.2	6%	3,29,17,12,22,39,17,9,19,60,4,17,14,33,12
-0.5	100 MGM	KC @ PHI	Jalen Hurts	rush_yd	u 36.5	-110/-110	-	-130/+100	-	-	-	-117/-112	-	42.0	40%	33,85,25,20,33,22,37,67,56,39,39,29,59,45,41
-0.6	-110 FD	KC @ PHI	Marquise Brown	rec_yd	o 39.5	-110	-	-135/+100	-	-	-	-113/-115	-140	-	-	-
-0.6	148 DK	KC @ PHI	Grant Calcaterra	rec_yd	o 0.5	-	'+148/-183	-	-	-	134/-164	-	-	21.3	84%	11,19,26,67,5,58,30,0,0,16,22,34,10
-0.7	-440 FD	KC @ PHI	Xavier Worthy	rec	o 3.5	-440	-	-	-600	-	-	-	-700	3.7	50%	2,2,2,3,3,3,4,0,1,4,4,5,5,6,7,8
-0.7	108 BR	KC @ PHI	Justin Reid	tackles+ast	u 5.5	-	-	-	-125/-105	-	-	-141/108	-	5.4	56%	9,7,5,1,4,9,4,4,7,6,6,6,4,5,5,5
-0.7	-110 MGM	KC @ PHI	Jalen Hurts	longest_pass	u 34.5	-	-	-120/-110	-	-	-	-	-105/-125	-	-	-
-0.8	-230 FD	KC @ PHI	Patrick Mahomes	pass_yd	o 224.5	-230	-	-	-	-	-	-	-285	245.5	62%	291,151,217,245,331,154,262,291,266,196,269,306,210,159,260,320
