EV	EV Book	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	ESPN	PN	Kambi	CZ	AVG	% Over	Splits
-0.8	-154 FD	KC @ PHI	Patrick Mahomes	pass_td	o 1.5	-154/+126	-168/+137	-200/+150	-	-	-	-159/123	-170/140	1.6	50%	1,2,2,1,0,0,2,3,1,3,3,1,1,2,1,3
-0.8	-115 MGM	KC @ PHI	Patrick Mahomes	longest_pass	u 35.5	-	-	-115/-115	-	-	-	-	100/-130	-	-	-
-0.8	133 BR	KC @ PHI	Isiah Pacheco	rush_yd	o 24.5	'+116	-	-	-	-	-	133/-175	-	44.3	85%	45,90,44,55,32,26,18
-0.9	100 DK	KC @ PHI	Devonta Smith	longest_rec	u 20.5	-110/-118	-130/+100	-110/-118	-	-	-	-121/-108	-125/-105	26.2	30%	25,19,21,45,-2,45,46,9,21,27,22,13,49
-0.9	100 MGM	KC @ PHI	Deandre Hopkins	rec_yd	u 12.5	-110/-110	-114/-107	-130/+100	-	-	-	-	-	38.1	25%	8,9,73,31,54,-2,29,86,56,29,35,90,32,36,37,7
-0.9	-110 FD	KC @ PHI	Deandre Hopkins	rec_yd	o 12.5	-110/-110	-114/-107	-130/+100	-	-	-	-	-	38.1	75%	8,9,73,31,54,-2,29,86,56,29,35,90,32,36,37,7
-0.9	-114 FD	KC @ PHI	Dallas Goedert	rec	o 4.5	-114/-114	-123/-101	-130/+100	-125/-105	-	-	-136/104	-125/-105	4.2	30%	4,3,10,7,0,2,5,4,3,4
-1.0	-121 BR	KC @ PHI	Patrick Mahomes	rush_att	o 5.5	-128/-102	-142/+114	-140/+105	-130/+100	-	-136/112	-121/-108	-135/105	3.6	20%	2,4,6,5,6,5,6,2,3,5,2,4,2,5,1
-1.0	130 365	KC @ PHI	Quinyon Mitchell	tackles+ast	o 3.5	-	-	-	'+130/-160	-	-	115/-150	-	2.9	31%	5,3,4,6,3,3,2,2,2,1,5,1,3,1,0,5
-1.0	325 CZ	KC @ PHI	Kareem Hunt	rush_yd	o 59.5	'+260	-	-	-	-	-	-	325	56.0	46%	69,102,78,59,106,35,60,68,15,16,45,55,20
-1.0	-122 FD	KC @ PHI	Isiah Pacheco	longest_rush	u 8.5	'+100/-122	'+105/-135	'+100/-135	-	-	-	112/-143	-	12.0	42%	5,11,34,9,9,8,8
-1.0	-105 MGM	KC @ PHI	Devonta Smith	rec	u 4.5	'+102/-132	-111/-112	-125/-105	-120/-110	-	-	-118/-110	-105/-125	5.2	46%	7,7,7,3,1,6,4,2,4,4,11,6,6
-1.0	-250 FD	KC @ PHI	Dallas Goedert	rec	o 3.5	-250	-	-	-280	-	-	-305/220	-340	4.2	60%	4,3,10,7,0,2,5,4,3,4
-1.0	114 DK	KC @ PHI	Patrick Mahomes	rush_att	u 5.5	-128/-102	-142/+114	-140/+105	-130/+100	-	-136/112	-121/-108	-135/105	3.6	80%	2,4,6,5,6,5,6,2,3,5,2,4,2,5,1
-1.1	-172 FD	KC @ PHI	Travis Kelce	rec_yd	o 49.5	-172	-	-	-	-	-	-190/145	-245	51.4	50%	34,5,30,89,70,17,90,100,64,8,62,68,45,27,30,84
-1.1	100 MGM	KC @ PHI	Marquise Brown	rec_yd	u 39.5	-110	-	-135/+100	-	-	-	-113/-115	-140	-	-	-
-1.1	-210 FD	KC @ PHI	Kareem Hunt	rush+rec	o 39.5	-210	-	-	-	-	-	-245/180	-285	69.5	81%	85,117,83,63,117,100,79,68,28,20,69
-1.1	-115 FD	KC @ PHI	Jahan Dotson	rec_yd	u 3.5	-105/-115	-	-	-	-	103/-124	-	-	15.4	21%	0,6,8,11,10,0,36,27,8,4,7,5,0,94
-1.1	-112 BR	KC @ PHI	Aj Brown	rec_yd	o 70.5	-	-	-	-	-	-121/-100	-112/-117	-	83.0	61%	119,116,89,84,36,109,65,109,66,43,110,97,36
-1.2	-280 FD	KC @ PHI	Travis Kelce	rec	o 4.5	-280	-	-	-	-	-	-335/240	-410	6.1	62%	3,1,4,7,9,4,10,14,8,2,6,7,5,4,5,8
-1.2	-650 FD	KC @ PHI	Saquon Barkley	rush+rec	o 79.5	-650	-	-	-	-	-	-	-1100	142.7	81%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
-1.2	-106 DK	KC @ PHI	Noah Gray	rec_yd	o 12.5	-110/-110	-106/-116	-130/-105	-	-	-	-	-115/-115	27.3	75%	37,13,40,29,66,23,0,18,23,66,58,26,21,10,6,1
-1.2	-125 365	KC @ PHI	Justin Reid	tackles+ast	o 5.5	-	-	-	-125/-105	-	-	-141/108	-	5.4	43%	9,7,5,1,4,9,4,4,7,6,6,6,4,5,5,5
-1.2	-130 CZ	KC @ PHI	Juju Smith Schuster	rec	o 1.5	-146/+112	-142/+114	-155/+115	-140/+110	-	-	-148/112	-130/100	1.6	36%	0,2,7,1,1,1,2,1,0,2,1
-1.2	-110 FD	KC @ PHI	Jalen Hurts	rush_yd	o 36.5	-110/-110	-	-130/+100	-	-	-	-117/-112	-	42.0	60%	33,85,25,20,33,22,37,67,56,39,39,29,59,45,41
-1.2	180 FD	KC @ PHI	Jalen Hurts	pass_td	o 1.5	'+180/-225	'+162/-202	'+155/-210	-	-	-	165/-220	155/-190	1.2	40%	2,1,0,1,2,1,1,2,2,0,1,1,2,2,0
-1.2	114 DK	KC @ PHI	Isiah Pacheco	rush_att	u 5.5	-138/+106	-141/+114	-	-	-	-138/113	-117/-112	-135/105	11.9	0%	15,19,7,14,13,9,6
-1.3	-115 365	KC @ PHI	Xavier Worthy	rec	u 5.5	'+100/-130	-104/-120	'+100/-135	-115/-115	-	-	102/-132	-105/-125	3.7	81%	2,2,2,3,3,3,4,0,1,4,4,5,5,6,7,8
-1.4	-132 BR	KC @ PHI	Jalen Hurts	rush_att	u 9.5	-	'+109/-135	'+105/-140	'+120/-150	-	124/-150	102/-132	120/-150	10.0	46%	13,13,8,8,14,7,10,13,7,10,12,9,8,15,3
-1.5	225 FD	KC @ PHI	Patrick Mahomes	rush_yd	o 39.5	'+225	-	-	-	-	-	-	190	19.2	6%	3,29,17,12,22,39,17,9,19,60,4,17,14,33,12
-1.5	225 FD	KC @ PHI	Jalen Hurts	pass_yd	o 249.5	'+225	-	-	-	-	-	-	190	193.5	26%	278,183,311,158,264,114,236,230,202,221,179,118,108,290,11
-1.5	-112 DK	KC @ PHI	Aj Brown	rec_yd	o 71.5	-	-112/-109	-	-	-	-	-	-125/-105	83.0	61%	119,116,89,84,36,109,65,109,66,43,110,97,36
-1.5	105 MGM	KC @ PHI	Saquon Barkley	rec_yd	u 13.5	-110/-110	-117/-104	-140/+105	-	-	-131/108	-	-	17.4	62%	23,21,9,32,7,11,3,40,12,52,47,10,0,9,0,2
-1.6	-105 BR	KC @ PHI	Travis Kelce	longest_rec	u 19.5	-102/-128	-115/-115	-120/-110	-	-	-	-125/-105	-115/-115	18.1	43%	23,5,17,38,21,7,25,20,22,6,27,24,13,8,14,20
-1.6	-110 CZ	KC @ PHI	Patrick Mahomes	pass_cmp	u 24.5	-	-102/-122	-110/-118	-115/-115	-	-	102/-132	-120/-110	24.5	43%	20,18,26,19,28,16,27,34,28,23,27,26,24,19,28,29
-1.6	-105 MGM	KC @ PHI	Noah Gray	rec_yd	u 12.5	-110/-110	-106/-116	-130/-105	-	-	-	-	-115/-115	27.3	25%	37,13,40,29,66,23,0,18,23,66,58,26,21,10,6,1
-1.7	-115 FD	KC @ PHI	Kareem Hunt	longest_rush	o 10.5	-115/-105	-125/-105	-130/+100	-	-	-	-	-	10.9	46%	10,8,13,7,15,10,17,13,4,7,12,20,6
-1.7	148 FD	KC @ PHI	Jalen Hurts	pass+rush	o 274.5	'+148	-	-	-	-	-	-	130	235.5	33%	311,268,336,178,297,136,273,297,258,260,218,147,167,335,52
-1.7	-200 365	KC @ PHI	Isiah Pacheco	rec	u 1.5	'+175/-235	'+183/-233	'+155/-210	'+160/-200	-	-	-	185/-230	1.7	50%	2,5,1,2,1,1
-1.7	112 BR	KC @ PHI	Isiah Pacheco	longest_rush	o 8.5	'+100/-122	'+105/-135	'+100/-135	-	-	-	112/-143	-	12.0	57%	5,11,34,9,9,8,8
-1.8	-110 FD	KC @ PHI	Saquon Barkley	rush_yd	o 109.5	-110/-110	-	-	-	-	-	-	-123	125.3	50%	109,95,147,84,47,176,108,159,66,146,255,107,124,65,150,167
-1.8	-190 CZ	KC @ PHI	Jalen Hurts	pass_td	u 1.5	'+180/-225	'+162/-202	'+155/-210	-	-	-	165/-220	155/-190	1.2	60%	2,1,0,1,2,1,1,2,2,0,1,1,2,2,0
-1.8	-235 FD	KC @ PHI	Devonta Smith	rec	o 3.5	-235	-	-	-280	-	-	-275/200	-285	5.2	76%	7,7,7,3,1,6,4,2,4,4,11,6,6
-1.8	-110 MGM	KC @ PHI	Devonta Smith	longest_rec	o 20.5	-110/-118	-130/+100	-110/-118	-	-	-	-121/-108	-125/-105	26.2	69%	25,19,21,45,-2,45,46,9,21,27,22,13,49
-1.9	-300 FD	KC @ PHI	Saquon Barkley	rush+rec	o 99.5	-300	-	-	-	-	-	-375/250	-400	142.7	81%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
-1.9	176 FD	KC @ PHI	Juju Smith Schuster	rec_yd	o 24.5	'+176	-	-	-	-	-	155/-205	-	21.0	18%	0,17,130,8,6,10,31,7,0,18,4
-1.9	-290 FD	KC @ PHI	Jalen Hurts	rush_yd	o 24.5	-290	-	-	-	-	-	-360/245	-	42.0	86%	33,85,25,20,33,22,37,67,56,39,39,29,59,45,41
-1.9	-260 FD	KC @ PHI	Aj Brown	rec_yd	o 49.5	-260	-	-	-	-	-	-305/220	-330	83.0	76%	119,116,89,84,36,109,65,109,66,43,110,97,36
-2.0	-650 FD	KC @ PHI	Saquon Barkley	rush_yd	o 69.5	-650	-	-	-	-	-	-	-1000	125.3	81%	109,95,147,84,47,176,108,159,66,146,255,107,124,65,150,167
-2.0	-110 MGM	KC @ PHI	Jalen Hurts	longest_rush	u 12.5	-	-	-118/-110	-	-	-	-108/-121	-	16.8	46%	8,23,21,7,9,16,12,21,24,9,11,11,35,23,22
-2.0	-600 FD	KC @ PHI	Devonta Smith	rec	o 2.5	-600	-	-	-800	-	-	-	-1000	5.2	84%	7,7,7,3,1,6,4,2,4,4,11,6,6
-2.1	125 365	KC @ PHI	Trent Mcduffie	tackles+ast	o 4.5	-	-	-	'+125/-155	-	-	112/-148	-	3.7	25%	4,4,1,6,5,2,4,2,6,1,4,4,3,4,5,4
-2.1	-170 365	KC @ PHI	Kareem Hunt	rec	u 1.5	'+142/-188	'+147/-184	'+135/-185	'+140/-170	-	-	165/-220	140/-170	1.8	45%	2,1,2,1,1,7,3,2,1,1,2
-2.1	-108 BR	KC @ PHI	Jalen Hurts	longest_rush	o 12.5	-	-	-118/-110	-	-	-	-108/-121	-	16.8	53%	8,23,21,7,9,16,12,21,24,9,11,11,35,23,22
-2.1	104 BR	KC @ PHI	Dallas Goedert	rec	u 4.5	-114/-114	-123/-101	-130/+100	-125/-105	-	-	-136/104	-125/-105	4.2	70%	4,3,10,7,0,2,5,4,3,4
-2.2	-105 DK	KC @ PHI	Saquon Barkley	longest_rec	u 9.5	-	-125/-105	-118/-110	-	-	-	-114/-114	-110/-120	12.6	50%	18,10,3,27,7,10,3,20,12,43,31,5,0,5,0,7
-2.2	-105 CZ	KC @ PHI	Samaje Perine	longest_rec	u 6.5	-113/-115	-	-115/-115	-	-	-	-	-125/-105	15.4	6%	10,3,8,15,22,21,11,35,11,13,10,16,23,36,14,13
-2.2	-245 FD	KC @ PHI	Isiah Pacheco	rec	o 0.5	-245	-	-	-280	-	-	-	-300	1.7	100%	2,5,1,2,1,1
-2.2	-106 DK	KC @ PHI	Jalen Hurts	pass_cmp	u 18.5	-113/-115	-117/-106	-118/-110	-115/-115	-	-105/-115	-	-110/-120	16.5	73%	20,23,29,18,16,10,16,18,14,18,15,11,14,25,1
-2.3	-115 BR	KC @ PHI	Isiah Pacheco	rec_yd	o 4.5	-115/-105	-121/-101	-	-	-	-132/109	-115/-112	-120/-110	11.3	83%	33,21,5,6,15,-1
-2.3	-360 FD	KC @ PHI	Xavier Worthy	rush+rec	o 39.5	-360	-	-	-	-	-	-	-450	46.4	37%	68,22,30,76,30,9,44,5,16,91,56,64
-2.3	-150 BR	KC @ PHI	Quinyon Mitchell	tackles+ast	u 3.5	-	-	-	'+130/-160	-	-	115/-150	-	2.9	68%	5,3,4,6,3,3,2,2,2,1,5,1,3,1,0,5
-2.3	-310 FD	KC @ PHI	Kareem Hunt	rec	o 0.5	-310	-	-	-350	-	-	-	-410	1.8	100%	2,1,2,1,1,7,3,2,1,1,2
-2.3	-108 DK	KC @ PHI	Juju Smith Schuster	rec_yd	u 17.5	-	-113/-108	-	-	-	-	-110/-117	-	21.0	72%	0,17,130,8,6,10,31,7,0,18,4
-2.3	-114 BR	KC @ PHI	Juju Smith Schuster	longest_rec	o 10.5	-	-125/-105	-	-	-	-	-114/-114	-	12.5	36%	0,13,50,8,6,10,26,7,0,13,4
-2.3	-160 365	KC @ PHI	Aj Brown	rec	o 4.5	-168/+128	-	-165/+130	-160/+130	-	-	-200/150	-170/140	5.2	76%	5,6,5,5,2,5,5,6,5,4,8,8,3
-2.4	-375 FD	KC @ PHI	Saquon Barkley	rush_yd	o 79.5	-375	-	-	-	-	-	-	-470	125.3	81%	109,95,147,84,47,176,108,159,66,146,255,107,124,65,150,167
-2.4	160 365	KC @ PHI	Saquon Barkley	rec	o 2.5	'+146	'+144/-180	-	'+160	-	-	150/-195	135	2.1	25%	2,4,4,2,2,2,1,3,1,2,4,2,0,2,0,2
-2.4	-105 DK	KC @ PHI	Juju Smith Schuster	longest_rec	u 10.5	-	-125/-105	-	-	-	-	-114/-114	-	12.5	63%	0,13,50,8,6,10,26,7,0,13,4
-2.5	-108 FD	KC @ PHI	Jalen Hurts	pass_att	o 27.5	-108/-120	-116/-107	-115/-118	-110/-120	-	-122/101	-122/-107	-115/-115	24.1	40%	34,30,38,30,25,14,20,24,20,28,22,19,21,32,4
-2.5	-123 DK	KC @ PHI	Xavier Worthy	rush_att	u 1.5	-	-101/-123	'+105/-140	'+115/-145	-	-	-103/-127	-105/-125	1.2	58%	1,1,3,1,1,2,1,1,1,3,3,2
-2.5	-280 365	KC @ PHI	Samaje Perine	rec	o 0.5	-310	-	-	-280	-	-	-	-360	1.6	100%	1,1,3,1,1,2,4,2,2,2,1,1,1,3,2,1
-2.5	-122 FD	KC @ PHI	Patrick Mahomes	pass_yd	o 249.5	-122	-	-	-	-	-	-	-135	245.5	56%	291,151,217,245,331,154,262,291,266,196,269,306,210,159,260,320
-2.5	-107 BR	KC @ PHI	Marquise Brown	longest_rec	u 18.5	-108/-120	-120/-110	-110/-120	-	-	-	-122/-107	-	-	-	-
-2.5	110 FD	KC @ PHI	Jalen Hurts	rush_yd	o 39.5	'+110	-	-	-	-	-	-	100	42.0	40%	33,85,25,20,33,22,37,67,56,39,39,29,59,45,41
-2.5	-108 BR	KC @ PHI	Deandre Hopkins	longest_rec	o 9.5	-118/-110	-	-115/-115	-	-	-	-108/-121	-120/-110	16.5	75%	8,9,20,16,23,6,16,35,31,13,12,34,10,12,15,4
-2.6	-110 DK	KC @ PHI	Patrick Mahomes	rush_yd	o 29.5	-	-110/-111	-	-	-	-	-	-120/-110	19.2	20%	3,29,17,12,22,39,17,9,19,60,4,17,14,33,12
-2.6	-103 BR	KC @ PHI	Dallas Goedert	rec_yd	u 49.5	-104	-	-130/-105	-	-	-	-127/-103	-115/-115	49.6	60%	31,38,170,62,0,25,61,19,35,55
-2.6	-105 MGM	KC @ PHI	Dallas Goedert	longest_rec	u 18.5	-110/-118	-	-125/-105	-	-	-	-114/-114	-120/-110	20.3	70%	21,16,61,18,0,14,32,7,17,17
-2.6	105 MGM	KC @ PHI	Patrick Mahomes	pass_att	o 36.5	'+102/-132	'+100/-124	'+105/-140	-110/-120	-	-101/-120	-103/-127	-105/-125	36.3	68%	28,25,39,29,39,27,38,44,42,33,37,46,37,38,41,38
-2.7	-108 FD	KC @ PHI	Marquise Brown	longest_rec	o 18.5	-108/-120	-120/-110	-110/-120	-	-	-	-122/-107	-	-	-	-
-2.7	-115 MGM	KC @ PHI	Jalen Hurts	pass_yd	o 210.5	-	-	-115/-115	-	-	-120/-101	-	-	193.5	46%	278,183,311,158,264,114,236,230,202,221,179,118,108,290,11
-2.7	-110 FD	KC @ PHI	Kareem Hunt	rec_yd	o 6.5	-110/-110	-113/-108	-118/-110	-	-	-112/-108	-	-125/-105	13.5	63%	16,15,5,4,11,65,19,0,13,4,24
-2.8	-110 CZ	KC @ PHI	Saquon Barkley	longest_rec	o 9.5	-	-125/-105	-118/-110	-	-	-	-114/-114	-110/-120	12.6	50%	18,10,3,27,7,10,3,20,12,43,31,5,0,5,0,7
-2.8	-400 FD	KC @ PHI	Deandre Hopkins	rec	o 0.5	-400	-	-	-450	-	-	-	-550	3.5	100%	1,1,6,2,4,1,2,8,4,3,5,4,4,5,4,2
-2.8	-110 FD	KC @ PHI	Dallas Goedert	longest_rec	o 18.5	-110/-118	-	-125/-105	-	-	-	-114/-114	-120/-110	20.3	30%	21,16,61,18,0,14,32,7,17,17
-2.8	-105 CZ	KC @ PHI	Xavier Worthy	rush_yd	u 6.5	-	-112/-109	-	-	-	-111/-109	-	-125/-105	6.5	50%	21,5,13,3,5,-10,7,5,5,30,10,10
-2.8	120 365	KC @ PHI	Jalen Hurts	rush_att	o 9.5	-	'+109/-135	'+105/-140	'+120/-150	-	124/-150	102/-132	120/-150	10.0	53%	13,13,8,8,14,7,10,13,7,10,12,9,8,15,3
-2.9	-132 DK	KC @ PHI	Deandre Hopkins	rec	u 1.5	'+116/-152	'+107/-132	'+105/-140	'+105/-135	-	-	112/-148	110/-140	3.5	18%	1,1,6,2,4,1,2,8,4,3,5,4,4,5,4,2
-3.0	-110 FD	KC @ PHI	Xavier Worthy	rec_yd	u 54.5	-110/-110	-	-110/-118	-	-	-	-	-	39.9	75%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
-3.0	111 DK	KC @ PHI	Jahan Dotson	rec	u 0.5	-132/+102	-138/+111	-135/+105	-130/+100	-	-	-	-135/105	1.4	21%	0,1,2,2,1,0,1,1,1,1,1,1,0,7
-3.0	-120 365	KC @ PHI	Patrick Mahomes	pass_att	u 36.5	'+102/-132	'+100/-124	'+105/-140	-110/-120	-	-101/-120	-103/-127	-105/-125	36.3	31%	28,25,39,29,39,27,38,44,42,33,37,46,37,38,41,38
-3.1	-1100 FD	KC @ PHI	Saquon Barkley	rush+rec	o 69.5	-1100	-	-	-	-	-	-	-1900	142.7	93%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
-3.1	-184 DK	KC @ PHI	Samaje Perine	rec	u 1.5	'+148/-196	'+147/-184	'+150/-200	'+160/-200	-	-	145/-195	165/-200	1.6	50%	1,1,3,1,1,2,4,2,2,2,1,1,1,3,2,1
-3.1	-124 FD	KC @ PHI	Devonta Smith	rec_yd	o 49.5	-124	-	-	-	-	-	-129/100	-145	64.1	69%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-3.1	-105 CZ	KC @ PHI	Aj Brown	rec_yd	u 71.5	-	-112/-109	-	-	-	-	-	-125/-105	83.0	38%	119,116,89,84,36,109,65,109,66,43,110,97,36
-3.1	-430 FD	KC @ PHI	Aj Brown	rec_yd	o 39.5	-430	-	-	-	-	-	-	-530	83.0	84%	119,116,89,84,36,109,65,109,66,43,110,97,36
-3.1	-115 CZ	KC @ PHI	Saquon Barkley	rush_yd	u 112.5	-	-	-	-	-	-102/-119	-	-115/-115	125.3	50%	109,95,147,84,47,176,108,159,66,146,255,107,124,65,150,167
-3.2	-148 BR	KC @ PHI	Trent Mcduffie	tackles+ast	u 4.5	-	-	-	'+125/-155	-	-	112/-148	-	3.7	75%	4,4,1,6,5,2,4,2,6,1,4,4,3,4,5,4
