EV	EV Book	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	ESPN	PN	Kambi	CZ	AVG	% Over	Splits
-3.2	-250 FD	KC @ PHI	Saquon Barkley	rush_yd	o 89.5	-250	-	-	-	-	-	-	-285	125.3	75%	109,95,147,84,47,176,108,159,66,146,255,107,124,65,150,167
-3.2	165 CZ	KC @ PHI	Samaje Perine	rec	o 1.5	'+148/-196	'+147/-184	'+150/-200	'+160/-200	-	-	145/-195	165/-200	1.6	50%	1,1,3,1,1,2,4,2,2,2,1,1,1,3,2,1
-3.2	120 365	KC @ PHI	Patrick Mahomes	int	o 0.5	-	'+114/-142	'+105/-140	'+120/-150	-	-	108/-141	120/-150	0.7	50%	1,2,1,1,1,2,1,0,0,2,0,0,0,0,0,0
-3.2	165 CZ	KC @ PHI	Kareem Hunt	rush_yd	o 49.5	'+152	-	-	-	-	-	148/-195	165	56.0	61%	69,102,78,59,106,35,60,68,15,16,45,55,20
-3.2	-125 DK	KC @ PHI	Kareem Hunt	rush_att	u 11.5	'+102/-132	'+101/-125	-	-	-	-	-	105/-135	15.4	30%	14,27,22,21,27,14,14,16,7,5,13,11,9
-3.2	100 MGM	KC @ PHI	Juju Smith Schuster	rec_yd	u 16.5	-110/-110	-	-135/+100	-	-	-	-	-130/100	21.0	63%	0,17,130,8,6,10,31,7,0,18,4
-3.2	116 FD	KC @ PHI	Deandre Hopkins	rec	o 1.5	'+116/-152	'+107/-132	'+105/-140	'+105/-135	-	-	112/-148	110/-140	3.5	81%	1,1,6,2,4,1,2,8,4,3,5,4,4,5,4,2
-3.2	-112 DK	KC @ PHI	Xavier Worthy	rush_yd	o 6.5	-	-112/-109	-	-	-	-111/-109	-	-125/-105	6.5	50%	21,5,13,3,5,-10,7,5,5,30,10,10
-3.3	-670 FD	KC @ PHI	Travis Kelce	rec	o 3.5	-670	-	-	-900	-	-	-	-	6.1	81%	3,1,4,7,9,4,10,14,8,2,6,7,5,4,5,8
-3.3	126 FD	KC @ PHI	Devonta Smith	rec_yd	o 59.5	'+126	-	-	-	-	-	-	115	64.1	61%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-3.3	1200 FD	KC @ PHI	Dallas Goedert	rec_yd	o 109.5	'+1200	-	-	-	-	-	-	675	49.6	10%	31,38,170,62,0,25,61,19,35,55
-3.3	-105 CZ	KC @ PHI	Kareem Hunt	rec_yd	u 6.5	-110/-110	-113/-108	-118/-110	-	-	-112/-108	-	-125/-105	13.5	36%	16,15,5,4,11,65,19,0,13,4,24
-3.4	-180 DK	KC @ PHI	Saquon Barkley	rec	u 2.5	'+146	'+144/-180	-	'+160	-	-	150/-195	135	2.1	75%	2,4,4,2,2,2,1,3,1,2,4,2,0,2,0,2
-3.4	100 MGM	KC @ PHI	Kareem Hunt	longest_rush	u 10.5	-115/-105	-125/-105	-130/+100	-	-	-	-	-	10.9	53%	10,8,13,7,15,10,17,13,4,7,12,20,6
-3.4	540 FD	KC @ PHI	Jalen Hurts	rush_yd	o 69.5	'+540	-	-	-	-	-	-	400	42.0	6%	33,85,25,20,33,22,37,67,56,39,39,29,59,45,41
-3.4	-135 365	KC @ PHI	Jalen Hurts	int	u 0.5	-	'+113/-141	'+115/-150	'+105/-135	-	-	110/-141	110/-140	0.3	73%	2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
-3.4	185 CZ	KC @ PHI	Isiah Pacheco	rec	o 1.5	'+175/-235	'+183/-233	'+155/-210	'+160/-200	-	-	-	185/-230	1.7	50%	2,5,1,2,1,1
-3.4	-115 BR	KC @ PHI	Devonta Smith	rec_yd	o 51.5	-	-	-125/-105	-	-	-116/-104	-115/-113	-	64.1	61%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-3.5	102 BR	KC @ PHI	Xavier Worthy	rec	o 5.5	'+100/-130	-104/-120	'+100/-135	-115/-115	-	-	102/-132	-105/-125	3.7	18%	2,2,2,3,3,3,4,0,1,4,4,5,5,6,7,8
-3.5	102 BR	KC @ PHI	Xavier Worthy	longest_rec	o 20.5	-	-	-105/-125	-	-	-	102/-134	-105/-125	18.7	25%	35,12,10,54,18,8,16,0,11,31,19,19,14,12,19,21
-3.5	190 BR	KC @ PHI	Marquise Brown	rec	o 4.5	'+182	-	-	-	-	-	190/-265	155	-	-	-
-3.5	-110 BR	KC @ PHI	Juju Smith Schuster	rec_yd	o 17.5	-	-113/-108	-	-	-	-	-110/-117	-	21.0	27%	0,17,130,8,6,10,31,7,0,18,4
-3.5	-136 BR	KC @ PHI	Aj Brown	rec	u 5.5	'+116	'+111/-138	-	'+125	-	-	104/-136	111	5.2	69%	5,6,5,5,2,5,5,6,5,4,8,8,3
-3.5	-380 365	KC @ PHI	Aj Brown	rec	o 3.5	-400	-	-	-380	-	-	-	-510	5.2	84%	5,6,5,5,2,5,5,6,5,4,8,8,3
-3.5	-107 BR	KC @ PHI	Jalen Hurts	pass_att	u 27.5	-108/-120	-116/-107	-115/-118	-110/-120	-	-122/101	-122/-107	-115/-115	24.1	60%	34,30,38,30,25,14,20,24,20,28,22,19,21,32,4
-3.6	-110 FD	KC @ PHI	Saquon Barkley	rush+rec	u 127.5	-110/-110	-	-	-	-	-	-112/-117	-	142.7	50%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
-3.6	-142 FD	KC @ PHI	Patrick Mahomes	rush_yd	o 24.5	-142	-	-	-	-	-	-152/116	-	19.2	26%	3,29,17,12,22,39,17,9,19,60,4,17,14,33,12
-3.7	-108 FD	KC @ PHI	Xavier Worthy	longest_rec	o 19.5	-108/-120	-115/-115	-	-	-	-	-	-	18.7	25%	35,12,10,54,18,8,16,0,11,31,19,19,14,12,19,21
-3.7	-140 MGM	KC @ PHI	Patrick Mahomes	int	u 0.5	-	'+114/-142	'+105/-140	'+120/-150	-	-	108/-141	120/-150	0.7	50%	1,2,1,1,1,2,1,0,0,2,0,0,0,0,0,0
-3.7	-145 365	KC @ PHI	Jaden Hicks	tackles+ast	o 3.5	-	-	-	-145/+115	-	-	-155/118	-	2.2	15%	1,2,1,2,2,1,3,1,2,3,2,4,5
-3.7	-108 DK	KC @ PHI	Devonta Smith	rec_yd	u 52.5	-110/-110	-114/-108	-	-	-	-	-	-115/-115	64.1	38%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-3.8	-113 FD	KC @ PHI	Samaje Perine	longest_rec	o 6.5	-113/-115	-	-115/-115	-	-	-	-	-125/-105	15.4	93%	10,3,8,15,22,21,11,35,11,13,10,16,23,36,14,13
-3.8	-121 BR	KC @ PHI	Marquise Brown	rec	o 3.5	-122/-106	-135/+109	-130/+100	-125/-105	-	-	-121/-108	-125/-105	-	-	-
-3.8	-115 FD	KC @ PHI	Kareem Hunt	rush_yd	o 39.5	-115	-	-	-	-	-	-	-123	56.0	69%	69,102,78,59,106,35,60,68,15,16,45,55,20
-3.9	-106 DK	KC @ PHI	Samaje Perine	rec_yd	o 8.5	-	-106/-115	-	-	-	-	-109/-120	-115/-115	18.9	87%	10,3,15,24,22,30,25,37,8,11,15,16,23,50,20,13
-3.9	115 MGM	KC @ PHI	Jalen Hurts	int	o 0.5	-	'+113/-141	'+115/-150	'+105/-135	-	-	110/-141	110/-140	0.3	26%	2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
-3.9	-110 FD	KC @ PHI	Devonta Smith	rec_yd	o 52.5	-110/-110	-114/-108	-	-	-	-	-	-115/-115	64.1	61%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-3.9	-105 MGM	KC @ PHI	Devonta Smith	rec_yd	u 51.5	-	-	-125/-105	-	-	-116/-104	-115/-113	-	64.1	38%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-4.0	-215 FD	KC @ PHI	Devonta Smith	rec_yd	o 39.5	-215	-	-	-	-	-	-	-235	64.1	69%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-4.0	-115 MGM	KC @ PHI	Aj Brown	longest_rec	o 24.5	-	-	-115/-115	-	-	-	-122/-107	-120/-110	31.5	61%	67,40,41,29,20,44,25,28,15,15,21,45,20
-4.1	112 FD	KC @ PHI	Noah Gray	rec	o 1.5	'+112/-146	'+109/-135	'+105/-140	'+105/-135	-	-	108/-141	105/-135	2.5	68%	3,1,4,2,4,3,0,2,4,4,4,4,2,1,1,1
-4.1	-420 FD	KC @ PHI	Noah Gray	rec	o 0.5	-420	-	-	-425	-	-	-	-560	2.5	93%	3,1,4,2,4,3,0,2,4,4,4,4,2,1,1,1
-4.1	-245 FD	KC @ PHI	Jalen Hurts	pass+rush	o 224.5	-245	-	-	-	-	-	-	-270	235.5	60%	311,268,336,178,297,136,273,297,258,260,218,147,167,335,52
-4.1	-130 365	KC @ PHI	Jahan Dotson	rec	o 0.5	-132/+102	-138/+111	-135/+105	-130/+100	-	-	-	-135/105	1.4	78%	0,1,2,2,1,0,1,1,1,1,1,1,0,7
-4.1	-109 DK	KC @ PHI	Dallas Goedert	rec_yd	u 51.5	-	-112/-109	-	-	-	-	-114/-114	-	49.6	60%	31,38,170,62,0,25,61,19,35,55
-4.1	-110 FD	KC @ PHI	Travis Kelce	rec_yd	o 60.5	-110/-110	-	-	-	-	-111/-109	-	-	51.4	50%	34,5,30,89,70,17,90,100,64,8,62,68,45,27,30,84
-4.1	-101 DK	KC @ PHI	Isiah Pacheco	rec_yd	u 4.5	-115/-105	-121/-101	-	-	-	-132/109	-115/-112	-120/-110	11.3	16%	33,21,5,6,15,-1
-4.2	-115 DK	KC @ PHI	Xavier Worthy	longest_rec	u 19.5	-108/-120	-115/-115	-	-	-	-	-	-	18.7	75%	35,12,10,54,18,8,16,0,11,31,19,19,14,12,19,21
-4.2	-110 FD	KC @ PHI	Patrick Mahomes	pass_yd	o 252.5	-110/-110	-	-	-	-	-	-115/-113	-	245.5	56%	291,151,217,245,331,154,262,291,266,196,269,306,210,159,260,320
-4.2	-900 FD	KC @ PHI	Patrick Mahomes	pass+rush	o 199.5	-900	-	-	-	-	-	-	-1200	264.7	80%	294,180,234,257,353,193,279,300,285,256,273,323,224,192,272
-4.2	105 CZ	KC @ PHI	Kareem Hunt	rush_att	o 11.5	'+102/-132	'+101/-125	-	-	-	-	-	105/-135	15.4	69%	14,27,22,21,27,14,14,16,7,5,13,11,9
-4.2	-125 BR	KC @ PHI	Kareem Hunt	rush_att	o 10.5	-	-	-135/+100	-130/+100	-	-	-125/-105	-	15.4	76%	14,27,22,21,27,14,14,16,7,5,13,11,9
-4.2	-330 FD	KC @ PHI	Jalen Hurts	pass_td	o 0.5	-330	-	-	-	-	-	-360/255	-	1.2	80%	2,1,0,1,2,1,1,2,2,0,1,1,2,2,0
-4.2	-114 FD	KC @ PHI	Jahan Dotson	longest_rec	u 2.5	-114/-114	-110/-120	-	-	-	-	-	-	9.6	21%	0,6,5,7,10,0,36,27,8,4,7,5,0,19
-4.2	168 FD	KC @ PHI	Dallas Goedert	rec	o 5.5	'+168	-	-	'+165	-	-	150/-200	155	4.2	20%	4,3,10,7,0,2,5,4,3,4
-4.3	-200 BR	KC @ PHI	Xavier Worthy	rec	o 4.5	-200	-	-	-	-	-	-200/150	-233	3.7	31%	2,2,2,3,3,3,4,0,1,4,4,5,5,6,7,8
-4.3	100 MGM	KC @ PHI	Saquon Barkley	rush_att	u 21.5	-128/-102	-122/-102	-130/+100	-130/+100	-	-	-109/-120	-130/100	21.6	43%	24,22,17,10,18,17,22,27,14,26,26,23,20,19,29,31
-4.3	-110 CZ	KC @ PHI	Patrick Mahomes	rush_yd	u 29.5	-	-110/-111	-	-	-	-	-	-120/-110	19.2	80%	3,29,17,12,22,39,17,9,19,60,4,17,14,33,12
-4.3	-290 FD	KC @ PHI	Marquise Brown	rec_yd	o 24.5	-290	-	-	-	-	-	-315/225	-	-	-	-
-4.3	-110 CZ	KC @ PHI	Jalen Hurts	pass_cmp	o 18.5	-113/-115	-117/-106	-118/-110	-115/-115	-	-105/-115	-	-110/-120	16.5	26%	20,23,29,18,16,10,16,18,14,18,15,11,14,25,1
-4.4	-190 365	KC @ PHI	Saquon Barkley	rec	o 1.5	-192/+146	-	-200/+145	-190/+155	-	-	-210/160	-190/155	2.1	75%	2,4,4,2,2,2,1,3,1,2,4,2,0,2,0,2
-4.4	-107 DK	KC @ PHI	Kareem Hunt	rush_yd	o 42.5	-	-107/-115	-	-	-	-	-112/-117	-	56.0	69%	69,102,78,59,106,35,60,68,15,16,45,55,20
-4.4	-700 365	KC @ PHI	Juju Smith Schuster	rec	o 0.5	-750	-	-	-700	-	-	-	-1000	1.6	81%	0,2,7,1,1,1,2,1,0,2,1
-4.4	-110 FD	KC @ PHI	Deandre Hopkins	longest_rec	u 9.5	-118/-110	-	-115/-115	-	-	-	-108/-121	-120/-110	16.5	25%	8,9,20,16,23,6,16,35,31,13,12,34,10,12,15,4
-4.4	-107 BR	KC @ PHI	Aj Brown	longest_rec	u 24.5	-	-	-115/-115	-	-	-	-122/-107	-120/-110	31.5	38%	67,40,41,29,20,44,25,28,15,15,21,45,20
-4.5	-110 FD	KC @ PHI	Xavier Worthy	rush+rec	u 62.5	-110/-110	-	-	-	-	-	-	-115/-115	46.4	50%	68,22,30,76,30,9,44,5,16,91,56,64
-4.5	-110 FD	KC @ PHI	Xavier Worthy	rush+rec	o 62.5	-110/-110	-	-	-	-	-	-	-115/-115	46.4	25%	68,22,30,76,30,9,44,5,16,91,56,64
-4.5	-110 MGM	KC @ PHI	Xavier Worthy	rec_yd	o 54.5	-110/-110	-	-110/-118	-	-	-	-	-	39.9	25%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
-4.5	122 FD	KC @ PHI	Travis Kelce	rec	o 6.5	'+122/-160	'+122/-152	'+120/-160	'+105/-135	-	-	115/-150	120/-150	6.1	43%	3,1,4,7,9,4,10,14,8,2,6,7,5,4,5,8
-4.5	-110 DK	KC @ PHI	Saquon Barkley	rush_yd	u 111.5	-	-111/-110	-115/-115	-	-	-	-	-	125.3	50%	109,95,147,84,47,176,108,159,66,146,255,107,124,65,150,167
-4.5	-110 DK	KC @ PHI	Saquon Barkley	rush+rec	u 129.5	-	-113/-110	-	-	-	-	-	-115/-115	142.7	50%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
-4.5	-110 FD	KC @ PHI	Patrick Mahomes	pass+rush	u 284.5	-110/-110	-	-	-	-	-	-114/-114	-	264.7	66%	294,180,234,257,353,193,279,300,285,256,273,323,224,192,272
-4.5	-110 FD	KC @ PHI	Patrick Mahomes	pass+rush	o 284.5	-110/-110	-	-	-	-	-	-114/-114	-	264.7	33%	294,180,234,257,353,193,279,300,285,256,273,323,224,192,272
-4.5	-110 FD	KC @ PHI	Patrick Mahomes	longest_rush	u 13.5	-110/-110	-115/-115	-	-	-	-	-	-	12.6	66%	4,9,15,13,9,33,14,7,12,33,5,10,10,15,12
-4.5	-110 FD	KC @ PHI	Patrick Mahomes	longest_rush	o 13.5	-110/-110	-115/-115	-	-	-	-	-	-	12.6	33%	4,9,15,13,9,33,14,7,12,33,5,10,10,15,12
-4.5	-110 CZ	KC @ PHI	Kareem Hunt	rush_yd	o 41.5	-	-	-115/-115	-	-	-	-	-110/-120	56.0	69%	69,102,78,59,106,35,60,68,15,16,45,55,20
-4.5	-110 DK	KC @ PHI	Jahan Dotson	longest_rec	o 2.5	-114/-114	-110/-120	-	-	-	-	-	-	9.6	78%	0,6,5,7,10,0,36,27,8,4,7,5,0,19
-4.5	-110 DK	KC @ PHI	Isiah Pacheco	rush_yd	o 22.5	-	-110/-111	-	-	-	-	-	-115/-115	44.3	85%	45,90,44,55,32,26,18
-4.5	-110 FD	KC @ PHI	Isiah Pacheco	rush_yd	u 21.5	-110/-110	-	-115/-115	-	-	-	-	-	44.3	14%	45,90,44,55,32,26,18
-4.5	-110 FD	KC @ PHI	Isiah Pacheco	rush_yd	o 21.5	-110/-110	-	-115/-115	-	-	-	-	-	44.3	85%	45,90,44,55,32,26,18
-4.6	-210 FD	KC @ PHI	Xavier Worthy	rush+rec	o 49.5	-210	-	-	-	-	-	-	-225	46.4	31%	68,22,30,76,30,9,44,5,16,91,56,64
-4.6	160 BR	KC @ PHI	Saquon Barkley	rec	u 1.5	-192/+146	-	-200/+145	-190/+155	-	-	-210/160	-190/155	2.1	25%	2,4,4,2,2,2,1,3,1,2,4,2,0,2,0,2
-4.6	-115 MGM	KC @ PHI	Kareem Hunt	rush_yd	u 41.5	-	-	-115/-115	-	-	-	-	-110/-120	56.0	30%	69,102,78,59,106,35,60,68,15,16,45,55,20
-4.6	-120 DK	KC @ PHI	Kareem Hunt	longest_rec	u 6.5	-	-110/-120	-105/-125	-	-	-	-	-105/-125	9.2	36%	9,15,3,4,11,26,13,5,13,4,17
-4.6	115 MGM	KC @ PHI	Juju Smith Schuster	rec	u 1.5	-146/+112	-142/+114	-155/+115	-140/+110	-	-	-148/112	-130/100	1.6	63%	0,2,7,1,1,1,2,1,0,2,1
-4.6	350 FD	KC @ PHI	Deandre Hopkins	rec	o 2.5	'+350	-	-	'+350	-	-	-	225	3.5	62%	1,1,6,2,4,1,2,8,4,3,5,4,4,5,4,2
-4.7	-135 365	KC @ PHI	Noah Gray	rec	u 1.5	'+112/-146	'+109/-135	'+105/-140	'+105/-135	-	-	108/-141	105/-135	2.5	31%	3,1,4,2,4,3,0,2,4,4,4,4,2,1,1,1
-4.8	-900 365	KC @ PHI	Saquon Barkley	rec	o 0.5	-1100	-	-	-900	-	-	-	-	2.1	87%	2,4,4,2,2,2,1,3,1,2,4,2,0,2,0,2
-4.8	-310 FD	KC @ PHI	Marquise Brown	rec	o 2.5	-310	-	-	-340	-	-	-315/230	-410	-	-	-
-4.9	-1450 FD	KC @ PHI	Xavier Worthy	rec	o 2.5	-1450	-	-	-2000	-	-	-	-	3.7	68%	2,2,2,3,3,3,4,0,1,4,4,5,5,6,7,8
-4.9	-125 MGM	KC @ PHI	Xavier Worthy	longest_rec	u 20.5	-	-	-105/-125	-	-	-	102/-134	-105/-125	18.7	75%	35,12,10,54,18,8,16,0,11,31,19,19,14,12,19,21
-4.9	170 FD	KC @ PHI	Saquon Barkley	rush+rec	o 149.5	'+170	-	-	-	-	-	-	155	142.7	43%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
-5.0	-111 DK	KC @ PHI	Saquon Barkley	rush_yd	o 111.5	-	-111/-110	-115/-115	-	-	-	-	-	125.3	50%	109,95,147,84,47,176,108,159,66,146,255,107,124,65,150,167
-5.0	-110 FD	KC @ PHI	Patrick Mahomes	pass_yd	u 252.5	-110/-110	-	-	-	-	-	-115/-113	-	245.5	43%	291,151,217,245,331,154,262,291,266,196,269,306,210,159,260,320
-5.0	-470 FD	KC @ PHI	Jalen Hurts	pass+rush	o 199.5	-470	-	-	-	-	-	-	-520	235.5	66%	311,268,336,178,297,136,273,297,258,260,218,147,167,335,52
-5.0	-111 DK	KC @ PHI	Isiah Pacheco	rush_yd	u 22.5	-	-110/-111	-	-	-	-	-	-115/-115	44.3	14%	45,90,44,55,32,26,18
-5.0	-110 FD	KC @ PHI	Travis Kelce	rec_yd	u 60.5	-110/-110	-	-	-	-	-111/-109	-	-	51.4	50%	34,5,30,89,70,17,90,100,64,8,62,68,45,27,30,84
-5.2	-135 FD	KC @ PHI	Xavier Worthy	rush+rec	o 59.5	-135	-	-	-	-	-	-	-140	46.4	25%	68,22,30,76,30,9,44,5,16,91,56,64
-5.2	-110 MGM	KC @ PHI	Noah Gray	longest_rec	u 9.5	-115/-113	-120/-110	-118/-110	-	-	-	-114/-114	-115/-115	14.6	25%	13,13,29,15,26,10,0,13,14,35,26,8,15,10,6,1
-5.2	-114 BR	KC @ PHI	Noah Gray	longest_rec	o 9.5	-115/-113	-120/-110	-118/-110	-	-	-	-114/-114	-115/-115	14.6	75%	13,13,29,15,26,10,0,13,14,35,26,8,15,10,6,1
-5.2	118 BR	KC @ PHI	Jaden Hicks	tackles+ast	u 3.5	-	-	-	-145/+115	-	-	-155/118	-	2.2	84%	1,2,1,2,2,1,3,1,2,3,2,4,5
-5.2	130 365	KC @ PHI	Darius Slay	tackles+ast	o 4.5	-	-	-	'+130/-160	-	-	123/-162	-	3.8	30%	3,5,2,9,4,4,0,2,3,6,1,7,3
