EV	EV Book	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	ESPN	PN	Kambi	CZ	AVG	% Over	Splits
-5.3	-670 FD	KC @ PHI	Dallas Goedert	rec	o 2.5	-670	-	-	-750	-	-	-	-	4.2	80%	4,3,10,7,0,2,5,4,3,4
-5.4	-112 BR	KC @ PHI	Xavier Worthy	rec_yd	u 55.5	-	-	-	-	-	-	-115/-112	-115/-115	39.9	75%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
-5.4	-112 DK	KC @ PHI	Dallas Goedert	rec_yd	o 51.5	-	-112/-109	-	-	-	-	-114/-114	-	49.6	40%	31,38,170,62,0,25,61,19,35,55
-5.5	500 365	KC @ PHI	Aj Brown	rec	o 7.5	'+360	-	-	'+500	-	-	-	410	5.2	15%	5,6,5,5,2,5,5,6,5,4,8,8,3
-5.6	-134 BR	KC @ PHI	Zack Baun	tackles+ast	u 10.5	-	-	-	'+105/-135	-	-	102/-134	-	9.4	62%	15,9,13,6,8,6,12,10,8,15,3,13,11,5,10,7
-5.6	-110 FD	KC @ PHI	Saquon Barkley	rush+rec	o 127.5	-110/-110	-	-	-	-	-	-112/-117	-	142.7	50%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
-5.6	-115 DK	KC @ PHI	Samaje Perine	rec_yd	u 8.5	-	-106/-115	-	-	-	-	-109/-120	-115/-115	18.9	12%	10,3,15,24,22,30,25,37,8,11,15,16,23,50,20,13
-5.6	-470 FD	KC @ PHI	Patrick Mahomes	pass+rush	o 224.5	-470	-	-	-	-	-	-	-500	264.7	73%	294,180,234,257,353,193,279,300,285,256,273,323,224,192,272
-5.6	-134 BR	KC @ PHI	Oren Burks	tackles+ast	o 8.5	-	-	-	-135/+105	-	-	-134/102	-	4.1	10%	2,1,2,2,2,1,2,4,8,17
-5.6	-145 365	KC @ PHI	Nick Bolton	tackles+ast	o 7.5	-	-	-	-145	-	-	-148/112	-	6.6	31%	7,7,8,5,11,6,9,3,6,7,4,11,5,5,4,8
-5.6	-115 DK	KC @ PHI	Kareem Hunt	rush_yd	u 42.5	-	-107/-115	-	-	-	-	-112/-117	-	56.0	30%	69,102,78,59,106,35,60,68,15,16,45,55,20
-5.6	100 MGM	KC @ PHI	Kareem Hunt	rush_att	u 10.5	-	-	-135/+100	-130/+100	-	-	-125/-105	-	15.4	23%	14,27,22,21,27,14,14,16,7,5,13,11,9
-5.6	-134 BR	KC @ PHI	Harrison Butker	kicking_pts	o 7.5	-	-	-	-	-	-	-134/102	-135/105	7.1	53%	9,8,10,5,14,4,9,6,10,3,9,5,0
-5.7	105 365	KC @ PHI	Zack Baun	tackles+ast	o 10.5	-	-	-	'+105/-135	-	-	102/-134	-	9.4	37%	15,9,13,6,8,6,12,10,8,15,3,13,11,5,10,7
-5.7	-260 FD	KC @ PHI	Patrick Mahomes	pass+rush	o 249.5	-260	-	-	-	-	-	-	-270	264.7	66%	294,180,234,257,353,193,279,300,285,256,273,323,224,192,272
-5.7	105 365	KC @ PHI	Oren Burks	tackles+ast	u 8.5	-	-	-	-135/+105	-	-	-134/102	-	4.1	90%	2,1,2,2,2,1,2,4,8,17
-5.7	-105 MGM	KC @ PHI	Kareem Hunt	longest_rec	o 6.5	-	-110/-120	-105/-125	-	-	-	-	-105/-125	9.2	63%	9,15,3,4,11,26,13,5,13,4,17
-5.7	105 CZ	KC @ PHI	Harrison Butker	kicking_pts	u 7.5	-	-	-	-	-	-	-134/102	-135/105	7.1	46%	9,8,10,5,14,4,9,6,10,3,9,5,0
-5.8	-113 DK	KC @ PHI	Saquon Barkley	rush+rec	o 129.5	-	-113/-110	-	-	-	-	-	-115/-115	142.7	50%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
-5.8	-146 FD	KC @ PHI	Patrick Mahomes	pass+rush	o 274.5	-146	-	-	-	-	-	-	-149	264.7	40%	294,180,234,257,353,193,279,300,285,256,273,323,224,192,272
-5.8	-160 365	KC @ PHI	Darius Slay	tackles+ast	u 4.5	-	-	-	'+130/-160	-	-	123/-162	-	3.8	69%	3,5,2,9,4,4,0,2,3,6,1,7,3
-5.9	230 FD	KC @ PHI	Travis Kelce	rec	o 7.5	'+230	-	-	'+200	-	-	210/-286	210	6.1	31%	3,1,4,7,9,4,10,14,8,2,6,7,5,4,5,8
-5.9	-1100 FD	KC @ PHI	Marquise Brown	rec	o 1.5	-1100	-	-	-1200	-	-	-	-	-	-	-
-5.9	198 FD	KC @ PHI	Aj Brown	rec_yd	o 89.5	'+198	-	-	-	-	-	-	180	83.0	46%	119,116,89,84,36,109,65,109,66,43,110,97,36
-5.9	-1100 365	KC @ PHI	Aj Brown	rec	o 2.5	-1200	-	-	-1100	-	-	-	-	5.2	92%	5,6,5,5,2,5,5,6,5,4,8,8,3
-5.9	-125 CZ	KC @ PHI	Deandre Hopkins	rec_yd	o 13.5	-	-	-	-	-	-121/-100	-	-125/-105	38.1	75%	8,9,73,31,54,-2,29,86,56,29,35,90,32,36,37,7
-6.1	-130 MGM	KC @ PHI	Kenneth Gainwell	longest_rush	o 4.5	-	-130/+100	-130/+100	-	-	-	-	-	8.2	66%	2,4,9,19,14,10,3,13,14,13,20,7,3,4,5
-6.3	-109 BR	KC @ PHI	Saquon Barkley	longest_rush	o 24.5	-	-110/-120	-	-	-	-	-109/-120	-	34.5	50%	34,11,65,59,10,55,19,21,11,39,72,25,18,22,68,23
-6.3	-125 MGM	KC @ PHI	Isiah Pacheco	longest_rec	u 5.5	-	-105/-125	-105/-125	-	-	-	-	-	8.7	33%	23,13,5,6,15,-1
-6.3	275 BR	KC @ PHI	Deandre Hopkins	rec_yd	o 24.5	'+240	-	-	-	-	-	275/-400	-	38.1	75%	8,9,73,31,54,-2,29,86,56,29,35,90,32,36,37,7
-6.5	-115 BR	KC @ PHI	Xavier Worthy	rec_yd	o 55.5	-	-	-	-	-	-	-115/-112	-115/-115	39.9	25%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
-6.5	-120 BR	KC @ PHI	Saquon Barkley	longest_rush	u 24.5	-	-110/-120	-	-	-	-	-109/-120	-	34.5	50%	34,11,65,59,10,55,19,21,11,39,72,25,18,22,68,23
-6.6	820 FD	KC @ PHI	Travis Kelce	rec_yd	o 109.5	'+820	-	-	-	-	-	-	550	51.4	0%	34,5,30,89,70,17,90,100,64,8,62,68,45,27,30,84
-6.6	-134 BR	KC @ PHI	Patrick Mahomes	longest_rush	o 12.5	-	-	-135/+100	-	-	-	-134/102	-	12.6	40%	4,9,15,13,9,33,14,7,12,33,5,10,10,15,12
-6.6	-125 FD	KC @ PHI	Jalen Hurts	pass+rush	o 249.5	-125	-	-	-	-	-	-	-125	235.5	60%	311,268,336,178,297,136,273,297,258,260,218,147,167,335,52
-6.7	100 MGM	KC @ PHI	Kenneth Gainwell	longest_rush	u 4.5	-	-130/+100	-130/+100	-	-	-	-	-	8.2	33%	2,4,9,19,14,10,3,13,14,13,20,7,3,4,5
-6.8	102 BR	KC @ PHI	Patrick Mahomes	longest_rush	u 12.5	-	-	-135/+100	-	-	-	-134/102	-	12.6	60%	4,9,15,13,9,33,14,7,12,33,5,10,10,15,12
-6.8	-105 MGM	KC @ PHI	Isiah Pacheco	longest_rec	o 5.5	-	-105/-125	-105/-125	-	-	-	-	-	8.7	66%	23,13,5,6,15,-1
-7.1	146 FD	KC @ PHI	Patrick Mahomes	pass_yd	o 274.5	'+146	-	-	-	-	-	-	140	245.5	31%	291,151,217,245,331,154,262,291,266,196,269,306,210,159,260,320
-7.1	-105 CZ	KC @ PHI	Deandre Hopkins	rec_yd	u 13.5	-	-	-	-	-	-121/-100	-	-125/-105	38.1	25%	8,9,73,31,54,-2,29,86,56,29,35,90,32,36,37,7
-7.4	188 FD	KC @ PHI	Devonta Smith	rec	o 5.5	'+188	-	-	'+175	-	-	180/-240	175	5.2	53%	7,7,7,3,1,6,4,2,4,4,11,6,6
-7.6	152 FD	KC @ PHI	Saquon Barkley	rush_yd	o 124.5	'+152	-	-	-	-	-	148/-195	-	125.3	43%	109,95,147,84,47,176,108,159,66,146,255,107,124,65,150,167
-7.6	180 365	KC @ PHI	Patrick Mahomes	pass_att	o 39.5	-	-	-	'+180	-	-	-	170	36.3	25%	28,25,39,29,39,27,38,44,42,33,37,46,37,38,41,38
-7.7	680 FD	KC @ PHI	Jalen Hurts	pass_td	o 2.5	'+680	-	-	-	-	-	-	490	1.2	0%	2,1,0,1,2,1,1,2,2,0,1,1,2,2,0
-7.9	195 BR	KC @ PHI	Xavier Worthy	rec	o 6.5	'+194	-	-	'+180	-	-	195/-265	175	3.7	12%	2,2,2,3,3,3,4,0,1,4,4,5,5,6,7,8
-8.3	260 FD	KC @ PHI	Jalen Hurts	pass+rush	o 299.5	'+260	-	-	-	-	-	-	235	235.5	20%	311,268,336,178,297,136,273,297,258,260,218,147,167,335,52
-8.4	-183 DK	KC @ PHI	Grant Calcaterra	rec_yd	u 0.5	-	'+148/-183	-	-	-	134/-164	-	-	21.3	15%	11,19,26,67,5,58,30,0,0,16,22,34,10
-8.5	375 365	KC @ PHI	Jahan Dotson	rec	o 1.5	'+310	-	-	'+375	-	-	-	325	1.4	21%	0,1,2,2,1,0,1,1,1,1,1,1,0,7
-8.5	-105 FD	KC @ PHI	Jahan Dotson	rec_yd	o 3.5	-105/-115	-	-	-	-	103/-124	-	-	15.4	78%	0,6,8,11,10,0,36,27,8,4,7,5,0,94
-10.0	185 CZ	KC @ PHI	Xavier Worthy	rush+rec	o 79.5	'+180	-	-	-	-	-	-	185	46.4	6%	68,22,30,76,30,9,44,5,16,91,56,64
-10.2	-115 CZ	KC @ PHI	Saquon Barkley	rush_yd	o 112.5	-	-	-	-	-	-102/-119	-	-115/-115	125.3	50%	109,95,147,84,47,176,108,159,66,146,255,107,124,65,150,167
-10.6	195 CZ	KC @ PHI	Devonta Smith	rec_yd	o 69.5	'+190	-	-	-	-	-	-	195	64.1	53%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-10.6	-115 MGM	KC @ PHI	Jalen Hurts	pass_yd	u 210.5	-	-	-115/-115	-	-	-120/-101	-	-	193.5	53%	278,183,311,158,264,114,236,230,202,221,179,118,108,290,11
-10.7	225 365	KC @ PHI	Juju Smith Schuster	rec	o 2.5	'+205	-	-	'+225	-	-	220/-305	215	1.6	9%	0,2,7,1,1,1,2,1,0,2,1
-10.9	410 FD	KC @ PHI	Xavier Worthy	rush+rec	o 99.5	'+410	-	-	-	-	-	-	350	46.4	0%	68,22,30,76,30,9,44,5,16,91,56,64
-11.1	425 CZ	KC @ PHI	Patrick Mahomes	pass+rush	o 349.5	'+360	-	-	-	-	-	-	425	264.7	6%	294,180,234,257,353,193,279,300,285,256,273,323,224,192,272
-11.8	-117 BR	KC @ PHI	Aj Brown	rec_yd	u 70.5	-	-	-	-	-	-121/-100	-112/-117	-	83.0	38%	119,116,89,84,36,109,65,109,66,43,110,97,36
-12.5	250 CZ	KC @ PHI	Patrick Mahomes	pass_yd	o 299.5	'+240	-	-	-	-	-	-	250	245.5	18%	291,151,217,245,331,154,262,291,266,196,269,306,210,159,260,320
-12.7	275 BR	KC @ PHI	Noah Gray	rec_yd	o 24.5	'+260	-	-	-	-	-	275/-400	-	27.3	43%	37,13,40,29,66,23,0,18,23,66,58,26,21,10,6,1
-12.7	320 365	KC @ PHI	Dallas Goedert	rec	o 6.5	'+300	-	-	'+320	-	-	300/-435	310	4.2	20%	4,3,10,7,0,2,5,4,3,4
-12.7	285 FD	KC @ PHI	Aj Brown	rec_yd	o 99.5	'+285	-	-	-	-	-	275/-400	250	83.0	38%	119,116,89,84,36,109,65,109,66,43,110,97,36
-13.6	425 365	KC @ PHI	Patrick Mahomes	pass_cmp	o 29.5	-	-	-	'+425	-	-	-	370	24.5	6%	20,18,26,19,28,16,27,34,28,23,27,26,24,19,28,29
-13.8	270 FD	KC @ PHI	Isiah Pacheco	rush+rec	o 49.5	'+270	-	-	-	-	-	-	260	55.6	50%	78,111,49,61,47,25
-13.9	350 365	KC @ PHI	Noah Gray	rec	o 2.5	'+320	-	-	'+350	-	-	-	320	2.5	50%	3,1,4,2,4,3,0,2,4,4,4,4,2,1,1,1
-14.9	600 FD	KC @ PHI	Xavier Worthy	rush+rec	o 109.5	'+600	-	-	-	-	-	-	480	46.4	0%	68,22,30,76,30,9,44,5,16,91,56,64
-14.9	850 FD	KC @ PHI	Kareem Hunt	rush+rec	o 99.5	'+850	-	-	-	-	-	-	600	69.5	27%	85,117,83,63,117,100,79,68,28,20,69
-14.9	-113 BR	KC @ PHI	Isiah Pacheco	rush_yd	u 20.5	-	-	-	-	-	-133/110	-115/-113	-	44.3	14%	45,90,44,55,32,26,18
-15.1	102 FD	KC @ PHI	Patrick Mahomes	pass_cmp	u 23.5	-132/+102	-	-	-	-	-134/111	-	-220	24.5	37%	20,18,26,19,28,16,27,34,28,23,27,26,24,19,28,29
-15.2	350 365	KC @ PHI	Xavier Worthy	rec	o 7.5	'+320	-	-	'+350	-	-	-	330	3.7	6%	2,2,2,3,3,3,4,0,1,4,4,5,5,6,7,8
-15.3	400 365	KC @ PHI	Saquon Barkley	rec	o 3.5	'+350	-	-	'+400	-	-	-	370	2.1	18%	2,4,4,2,2,2,1,3,1,2,4,2,0,2,0,2
-15.5	460 FD	KC @ PHI	Isiah Pacheco	rush+rec	o 59.5	'+460	-	-	-	-	-	-	400	55.6	50%	78,111,49,61,47,25
-15.6	275 CZ	KC @ PHI	Xavier Worthy	rush+rec	o 89.5	'+270	-	-	-	-	-	-	275	46.4	6%	68,22,30,76,30,9,44,5,16,91,56,64
-16.6	290 FD	KC @ PHI	Devonta Smith	rec_yd	o 79.5	'+290	-	-	-	-	-	-	285	64.1	38%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-17.0	390 FD	KC @ PHI	Aj Brown	rec_yd	o 109.5	'+390	-	-	-	-	-	-	360	83.0	23%	119,116,89,84,36,109,65,109,66,43,110,97,36
-17.1	375 365	KC @ PHI	Marquise Brown	rec	o 5.5	'+360	-	-	'+375	-	-	-	340	-	-	-
-17.7	330 CZ	KC @ PHI	Isiah Pacheco	rush_yd	o 39.5	'+320	-	-	-	-	-	-	330	44.3	57%	45,90,44,55,32,26,18
-18.2	600 365	KC @ PHI	Juju Smith Schuster	rec	o 3.5	'+490	-	-	'+600	-	-	-	500	1.6	9%	0,2,7,1,1,1,2,1,0,2,1
-18.7	380 CZ	KC @ PHI	Travis Kelce	rec	o 8.5	'+370	-	-	'+350	-	-	-	380	6.1	18%	3,1,4,7,9,4,10,14,8,2,6,7,5,4,5,8
-18.9	400 FD	KC @ PHI	Jalen Hurts	pass_yd	o 274.5	'+400	-	-	-	-	-	-	375	193.5	20%	278,183,311,158,264,114,236,230,202,221,179,118,108,290,11
-19.0	350 FD	KC @ PHI	Devonta Smith	rec	o 6.5	'+350	-	-	'+350	-	-	-	330	5.2	30%	7,7,7,3,1,6,4,2,4,4,11,6,6
-19.3	450 CZ	KC @ PHI	Patrick Mahomes	pass_yd	o 324.5	'+410	-	-	-	-	-	-	450	245.5	6%	291,151,217,245,331,154,262,291,266,196,269,306,210,159,260,320
-19.9	1200 FD	KC @ PHI	Marquise Brown	rec_yd	o 99.5	'+1200	-	-	-	-	-	-	750	-	-	-
-20.7	490 CZ	KC @ PHI	Samaje Perine	rec	o 2.5	'+410	-	-	'+475	-	-	-	490	1.6	18%	1,1,3,1,1,2,4,2,2,2,1,1,1,3,2,1
-20.8	340 FD	KC @ PHI	Saquon Barkley	rush_yd	o 149.5	'+340	-	-	-	-	-	-	340	125.3	31%	109,95,147,84,47,176,108,159,66,146,255,107,124,65,150,167
-21.4	450 365	KC @ PHI	Kareem Hunt	rec	o 2.5	'+410	-	-	'+450	-	-	-	430	1.8	18%	2,1,2,1,1,7,3,2,1,1,2
-21.5	420 FD	KC @ PHI	Kareem Hunt	rush_yd	o 69.5	'+420	-	-	-	-	-	-	400	56.0	23%	69,102,78,59,106,35,60,68,15,16,45,55,20
-24.8	950 365	KC @ PHI	Aj Brown	rec	o 8.5	'+630	-	-	'+950	-	-	-	750	5.2	0%	5,6,5,5,2,5,5,6,5,4,8,8,3
-25.1	410 FD	KC @ PHI	Devonta Smith	rec_yd	o 89.5	'+410	-	-	-	-	-	-	410	64.1	15%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-25.2	675 CZ	KC @ PHI	Isiah Pacheco	rush_yd	o 49.5	'+570	-	-	-	-	-	-	675	44.3	28%	45,90,44,55,32,26,18
-25.4	430 FD	KC @ PHI	Jalen Hurts	pass+rush	o 324.5	'+430	-	-	-	-	-	-	425	235.5	13%	311,268,336,178,297,136,273,297,258,260,218,147,167,335,52
-26.7	600 CZ	KC @ PHI	Isiah Pacheco	rec	o 2.5	'+550	-	-	'+525	-	-	-	600	1.7	16%	2,5,1,2,1,1
-30.3	850 CZ	KC @ PHI	Saquon Barkley	rec	o 4.5	'+680	-	-	-	-	-	-	850	2.1	0%	2,4,4,2,2,2,1,3,1,2,4,2,0,2,0,2
-30.7	600 365	KC @ PHI	Dallas Goedert	rec	o 7.5	'+520	-	-	'+600	-	-	-	600	4.2	10%	4,3,10,7,0,2,5,4,3,4
-31.0	700 365	KC @ PHI	Devonta Smith	rec	o 7.5	'+630	-	-	'+700	-	-	-	600	5.2	7%	7,7,7,3,1,6,4,2,4,4,11,6,6
-31.1	650 365	KC @ PHI	Xavier Worthy	rec	o 8.5	'+580	-	-	'+650	-	-	-	600	3.7	0%	2,2,2,3,3,3,4,0,1,4,4,5,5,6,7,8
-31.5	575 CZ	KC @ PHI	Jalen Hurts	int	o 1.5	-	-	-	'+550	-	-	-	575	0.3	6%	2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
-33.3	600 365	KC @ PHI	Patrick Mahomes	int	o 1.5	-	-	-	'+600	-	-	-	575	0.7	18%	1,2,1,1,1,2,1,0,0,2,0,0,0,0,0,0
-33.6	850 FD	KC @ PHI	Saquon Barkley	rush+rec	o 199.5	'+850	-	-	-	-	-	-	700	142.7	6%	132,116,156,116,54,187,111,199,78,198,302,117,124,74,150,169
-35.3	950 365	KC @ PHI	Deandre Hopkins	rec	o 3.5	'+750	-	-	'+950	-	-	-	750	3.5	56%	1,1,6,2,4,1,2,8,4,3,5,4,4,5,4,2
-35.7	600 CZ	KC @ PHI	Devonta Smith	rec_yd	o 99.5	'+590	-	-	-	-	-	-	600	64.1	15%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-36.0	750 365	KC @ PHI	Marquise Brown	rec	o 6.5	'+640	-	-	'+750	-	-	-	700	-	-	-
-37.2	675 CZ	KC @ PHI	Travis Kelce	rec	o 9.5	'+630	-	-	'+650	-	-	-	675	6.1	12%	3,1,4,7,9,4,10,14,8,2,6,7,5,4,5,8
-39.5	1600 FD	KC @ PHI	Marquise Brown	rec_yd	o 109.5	'+1600	-	-	-	-	-	-	950	-	-	-
-39.9	760 FD	KC @ PHI	Patrick Mahomes	rush_yd	o 59.5	'+760	-	-	-	-	-	-	700	19.2	6%	3,29,17,12,22,39,17,9,19,60,4,17,14,33,12
-40.6	750 FD	KC @ PHI	Jalen Hurts	pass+rush	o 349.5	'+750	-	-	-	-	-	-	700	235.5	0%	311,268,336,178,297,136,273,297,258,260,218,147,167,335,52
-40.6	750 FD	KC @ PHI	Isiah Pacheco	rush+rec	o 69.5	'+750	-	-	-	-	-	-	700	55.6	33%	78,111,49,61,47,25
-41.3	700 CZ	KC @ PHI	Jalen Hurts	pass_yd	o 299.5	'+680	-	-	-	-	-	-	700	193.5	6%	278,183,311,158,264,114,236,230,202,221,179,118,108,290,11
-45.8	900 365	KC @ PHI	Noah Gray	rec	o 3.5	'+800	-	-	'+900	-	-	-	800	2.5	37%	3,1,4,2,4,3,0,2,4,4,4,4,2,1,1,1
-51.2	850 CZ	KC @ PHI	Devonta Smith	rec_yd	o 109.5	'+820	-	-	-	-	-	-	850	64.1	7%	84,76,79,64,-2,85,87,14,29,37,109,51,120
-60.5	1400 365	KC @ PHI	Jahan Dotson	rec	o 2.5	'+880	-	-	'+1400	-	-	-	1200	1.4	7%	0,1,2,2,1,0,1,1,1,1,1,1,0,7
-62.4	1100 365	KC @ PHI	Dallas Goedert	rec	o 8.5	'+880	-	-	'+1100	-	-	-	1100	4.2	10%	4,3,10,7,0,2,5,4,3,4
-71.0	1300 FD	KC @ PHI	Aj Brown	rec_yd	o 149.5	'+1300	-	-	-	-	-	-	1100	83.0	0%	119,116,89,84,36,109,65,109,66,43,110,97,36
-75.1	1100 365	KC @ PHI	Xavier Worthy	rec	o 9.5	-	-	-	'+1100	-	-	-	1100	3.7	0%	2,2,2,3,3,3,4,0,1,4,4,5,5,6,7,8
