EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	CZ	PN	Kambi/BR	ESPN	LYR	L10	SZN	Splits
2.2	230 BR	30%	COL @ DAL		home_total	o 3.5	-	'+185/-255	-	-	-	-	230/-315	-	-	-	-	
1.8	250 FD	29%	COL @ DAL	Cale Makar	pts	o 1.5	'+250	'+205	-	'+210	-	-	200/-275	-	38%	20%	33%	3,1,0,1,1,1,0,0,0,3
0.9	134 FD	43%	COL @ DAL	Mikael Granlund	pts	o 0.5	'+134	'+115/-148	'+110/-150	120/-150	-	115/-155	112/-148	'+115/-150	-	20%	46%	0,0,0,0,0,0,1,0,0,1
0.8	142 FD	41%	COL @ DAL	Nathan Mackinnon	pts	o 1.5	'+142	'+120/-154	'+115/-155	128/-160	-	120/-159	128/-167	'+115/-155	53%	40%	42%	1,3,1,1,3,1,0,1,2,3
0.7	-130 FD	57%	COL @ DAL	Roope Hintz	pts	o 0.5	-130	-148/+115	-155/+115	-155/125	-	-155/117	-159/120	-155/+115	53%	50%	54%	0,1,1,0,1,0,0,0,2,4
0.6	-129 BR	56%	COL @ DAL	Wyatt Johnston	pts	o 0.5	-136	-148/+115	-155/+115	-155/125	-	-155/117	-129/-103	-155/+115	48%	60%	65%	0,1,1,0,1,1,0,0,3,1
0.4	-166 FD	62%	COL @ DAL		3p_total	o 1.5	-166/+130	-	-200/+140	-	-	-207/168	-200/148	-	-	-	-	
0.0	108 FD	48%	COL @ DAL	Tyler Seguin	pts	o 0.5	'+108	-105/-125	-110/-120	-105/-125	-	-108/-122	-103/-129	-110/-120	50%	60%	72%	2,2,0,1,0,1,1,0,1,0
0.0	100 FD	50%	COL @ DAL	Thomas Harley	pts	o 0.5	'+100	-115/-115	-115/-115	-115/-115	-	-116/-114	-114/-114	-115/-115	38%	60%	48%	1,1,0,0,1,1,1,0,1,0
-0.3	160 BR	38%	COL @ DAL		away_total	o 3.5	-	'+140/-180	-	-	-	-	160/-215	-	-	-	-	
-0.5	-104 FD	51%	COL @ DAL	Matt Duchene	pts	o 0.5	-104	-120/-110	-118/-110	-120/-110	-	-119/-112	-114/-114	-115/-115	48%	20%	58%	0,0,0,1,0,0,0,0,1,0
-0.5	146 FD	41%	COL @ DAL	Brock Nelson	pts	o 0.5	'+146	'+130/-168	'+125/-165	132/-170	-	129/-173	123/-159	'+125/-165	-	30%	47%	0,0,2,0,0,0,0,2,0,2
-0.5	-255 DK	72%	COL @ DAL		home_total	u 3.5	-	'+185/-255	-	-	-	-	230/-315	-	-	-	-	
-0.5	-180 DK	64%	COL @ DAL		away_total	u 3.5	-	'+140/-180	-	-	-	-	160/-215	-	-	-	-	
-0.7	144 FD	41%	COL @ DAL	Mason Marchment	pts	o 0.5	'+144	'+126/-162	'+125/-160	130/-165	-	126/-168	128/-167	'+125/-165	44%	60%	52%	1,1,0,1,0,1,1,0,1,0
-1.3	-125 FD	56%	COL @ DAL	Cale Makar	ast	o 0.5	-125	-142/+110	-	-140/+110	-146/100	-142/107	-	-140/+110	62%	60%	55%	2,1,0,1,1,1,0,0,0,2
-1.6	-142 FD	59%	COL @ DAL	Martin Necas	pts	o 0.5	-142	-154/+120	-155/+120	-160/128	-	-161/121	-162/125	-155/+115	-	60%	58%	1,0,1,1,1,0,0,0,2,2
-1.7	-196 FD	66%	COL @ DAL	Cale Makar	pts	o 0.5	-196	-218/+165	-220/+160	-225/165	-	-232/170	-250/185	-210/+160	67%	60%	67%	3,1,0,1,1,1,0,0,0,3
-1.7	-112 BR	53%	COL @ DAL		home_total	o 2.5	-116/-110	-130/-110	-	-	-133/-103	-121/100	-112/-117	-	-	-	-	
-1.8	-148 FD	60%	COL @ DAL	Nathan Mackinnon	ast	o 0.5	-148	-162/+126	-	-165/+130	-178/120	-169/127	-	-165/+125	73%	60%	64%	1,2,0,1,1,0,0,0,1,2
-1.8	-675 DK	87%	COL @ DAL		home_total	u 4.5	-	'+410/-675	-	-	-	-	550/-1000	-	-	-	-	
-2.1	105 BR	49%	COL @ DAL	Artturi Lehkonen	pts	u 0.5	-125	-125/-105	-125/-105	-125/-105	-	-126/-105	-136/105	-125/-105	44%	50%	50%	0,0,0,1,1,1,0,0,1,1
-2.1	-112 FD	53%	COL @ DAL		1p_total	u 1.5	-112/-112	-	-105/-125	-105/-115	-	104/-121	-113/-115	'+100/-130	-	-	-	
-2.2	-104 FD	51%	COL @ DAL		total	o 5.5	-104/-122	-108/-112	-110/-110	-110/-110	-105/-115	-111/-103	-	-110/-110	-	-	-	
-2.2	-325 MGM	76%	COL @ DAL		spread	o 1.5	-410/+290	-385/+265	-325/+240	-375/+250	-384/252	-390/294	-385/290	-	-	-	-	
-2.3	-194 FD	66%	COL @ DAL	Mikko Rantanen	pts	o 0.5	-194	-218/+165	-220/+165	-225/165	-	-233/170	-210/155	-210/+160	-	50%	69%	0,2,1,0,0,0,1,0,3,4
-2.4	164 FD	38%	COL @ DAL	Roope Hintz	ast	o 0.5	'+164	'+145/-188	-	'+145/-190	139/-208	144/-194	-	'+145/-190	35%	40%	32%	0,1,1,0,0,0,0,0,1,2
-2.5	185 BR	35%	COL @ DAL	Cale Makar	pts	u 0.5	-196	-218/+165	-220/+160	-225/165	-	-232/170	-250/185	-210/+160	33%	40%	33%	3,1,0,1,1,1,0,0,0,3
-2.5	-200 ESPN	67%	COL @ DAL		1p_spread	u -0.5	-	-	'+160/-225	'+180/-220	-	179/-208	-	'+160/-200	-	-	-	
-2.7	-625 MGM	86%	COL @ DAL		spread	o 2.5	-950/+540	-675/+410	-625/+400	-850/+475	-	-777/510	-835/500	-	-	-	-	
-2.9	120 ESPN	45%	COL @ DAL		ml	u  	-142/+118	-	-135/+115	-135/+115	-135/115	-135/119	-	-140/+120	-	-	-	
-3.0	100 ESPN	50%	COL @ DAL		1p_total	o 1.5	-112/-112	-	-105/-125	-105/-115	-	104/-121	-113/-115	'+100/-130	-	-	-	
-3.0	-1200 MGM	92%	COL @ DAL		spread	u -3.5	'+870/-2200	'+850/-2000	'+625/-1200	'+750/-2000	-	-	750/-1430	-	-	-	-	
-3.1	550 BR	15%	COL @ DAL		home_total	o 4.5	-	'+410/-675	-	-	-	-	550/-1000	-	-	-	-	
-3.1	-1000 MGM	91%	COL @ DAL		1p_spread	u -1.5	-	-	'+550/-1000	'+700/-1200	-	-	-	-	-	-	-	
-3.1	-135 MGM	57%	COL @ DAL		ml	o  	-142/+118	-	-135/+115	-135/+115	-135/115	-135/119	-	-140/+120	-	-	-	
-3.1	-235 ESPN	70%	COL @ DAL		giff	u  	'+186/-250	-	-	-	-	-	200/-275	'+185/-235	-	-	-	
-3.4	-225 ESPN	69%	COL @ DAL		spread	u -1.5	'+180/-235	'+190/-230	190/-235	'+190/-230	185/-225	192/-228	190/-240	175/-225	-	-	-	
-3.5	136 FD	42%	COL @ DAL	Thomas Harley	ast	o 0.5	'+136	'+126/-162	-	'+130/-165	115/-170	124/-166	-	'+120/-160	30%	30%	33%	0,1,0,0,1,0,1,0,0,0
-3.5	154 FD	39%	COL @ DAL		total	o 6.5	'+154/-200	'+140/-180	-	'+140/-190	143/-199	141/-169	-	-	-	-	-	
-3.5	-107 BR	52%	COL @ DAL		3p_total	o 2.0	-	-	-110/-125	-	-	-115/-102	-107/-124	-	-	-	-	
-3.6	420 FD	19%	COL @ DAL	Cale Makar	ast	o 1.5	'+420	'+330	-	-	-	-	-	-	22%	20%	20%	2,1,0,1,1,1,0,0,0,2
-3.6	-159 BR	61%	COL @ DAL	Brock Nelson	pts	u 0.5	'+146	'+130/-168	'+125/-165	132/-170	-	129/-173	123/-159	'+125/-165	-	70%	53%	0,0,2,0,0,0,0,2,0,2
-3.6	-750 MGM	88%	COL @ DAL		2p_total	o 0.5	-	-	-750/+425	-	-	-	-1000/525	-	-	-	-	
-3.7	350 FD	22%	COL @ DAL	Nathan Mackinnon	ast	o 1.5	'+350	'+285	-	-	-	-	-	-	31%	20%	26%	1,2,0,1,1,0,0,0,1,2
-3.7	-450 DK	82%	COL @ DAL		total	u 7.5	'+360/-530	'+300/-450	-	'+330/-500	-	-	-	-	-	-	-	
-3.7	-110 MGM	52%	COL @ DAL		total	u 5.5	-104/-122	-108/-112	-110/-110	-110/-110	-105/-115	-111/-103	-	-110/-110	-	-	-	
-3.9	164 FD	38%	COL @ DAL	Jamie Benn	pts	o 0.5	'+164	'+150/-198	'+145/-200	150/-200	-	151/-204	148/-195	'+145/-190	54%	30%	54%	0,0,2,0,0,1,1,0,0,0
-3.9	-103 CZ	51%	COL @ DAL		home_total	u 2.5	-116/-110	-130/-110	-	-	-133/-103	-121/100	-112/-117	-	-	-	-	
-4.0	128 FD	44%	COL @ DAL	Martin Necas	ast	o 0.5	'+128	'+120/-154	-	'+125/-155	111/-164	118/-157	-	'+115/-155	-	50%	42%	0,0,1,1,1,0,0,0,2,1
-4.0	-800 DK	89%	COL @ DAL		total	u 8.5	'+600/-1100	'+460/-800	-	'+500/-850	-	544/-774	-	-	-	-	-	
-4.0	-2000 MGM	95%	COL @ DAL		spread	o 3.5	-	-2800/+1000	-2000/+800	-	-	-	-	-	-	-	-	
-4.1	-320 DK	76%	COL @ DAL	Valeri Nichushkin	ast	u 0.5	'+265	'+230/-320	-	'+250/-350	225/-368	257/-375	-	'+235/-340	68%	90%	75%	0,0,0,1,0,0,0,0,0,0
-4.1	-320 DK	76%	COL @ DAL	Mason Marchment	ast	u 0.5	'+265	'+230/-320	-	'+250/-350	225/-368	259/-379	-	'+235/-340	75%	70%	70%	1,0,0,0,0,1,1,0,0,0
-4.1	-152 BR	60%	COL @ DAL		spread	u -1.0	-	-	-	-	120/-166	-	125/-152	-	-	-	-	
-4.2	104 FD	49%	COL @ DAL	Valeri Nichushkin	pts	o 0.5	'+104	'+100/-130	-105/-130	100/-130	-	-104/-127	-103/-129	'+100/-130	68%	40%	54%	0,1,0,2,0,0,1,0,0,2
-4.2	108 FD	48%	COL @ DAL		gift	u  	-138/+108	-135/+105	-	-125/-105	-	-	-137/106	-130/+105	-	-	-	
-4.3	-190 ESPN	66%	COL @ DAL	Matt Duchene	ast	u 0.5	'+164	'+150/-198	-	'+150/-200	139/-208	153/-207	-	'+145/-190	63%	80%	53%	0,0,0,1,0,0,0,0,1,0
-4.3	-160 MGM	62%	COL @ DAL	Mason Marchment	pts	u 0.5	'+144	'+126/-162	'+125/-160	130/-165	-	126/-168	128/-167	'+125/-165	56%	40%	48%	1,1,0,1,0,1,1,0,1,0
-4.3	-475 MGM	83%	COL @ DAL		2p_total	o 1.0	-	-	-475/+290	-	-	-461/343	-590/360	-	-	-	-	
-4.3	108 FD	48%	COL @ DAL		1p_ml	u  	-138/+108	-	-130/-102	-130/+110	-	-126/110	-	-135/+105	-	-	-	
-4.3	-130 MGM	57%	COL @ DAL		1p_ml	o  	-138/+108	-	-130/-102	-130/+110	-	-126/110	-	-135/+105	-	-	-	
-4.4	-120 MGM	55%	COL @ DAL	Tyler Seguin	pts	u 0.5	'+108	-105/-125	-110/-120	-105/-125	-	-108/-122	-103/-129	-110/-120	50%	40%	28%	2,2,0,1,0,1,1,0,1,0
-4.4	-154 DK	61%	COL @ DAL	Nathan Mackinnon	pts	u 1.5	'+142	'+120/-154	'+115/-155	128/-160	-	120/-159	128/-167	'+115/-155	47%	60%	58%	1,3,1,1,3,1,0,1,2,3
-4.4	164 FD	38%	COL @ DAL	Matt Duchene	ast	o 0.5	'+164	'+150/-198	-	'+150/-200	139/-208	153/-207	-	'+145/-190	37%	20%	47%	0,0,0,1,0,0,0,0,1,0
-4.4	-275 BR	73%	COL @ DAL	Cale Makar	pts	u 1.5	'+250	'+205	-	'+210	-	-	200/-275	-	62%	80%	67%	3,1,0,1,1,1,0,0,0,3
-4.4	-180 DK	64%	COL @ DAL		total	u 6.5	'+154/-200	'+140/-180	-	'+140/-190	143/-199	141/-169	-	-	-	-	-	
-4.5	-190 ESPN	66%	COL @ DAL	Jamie Benn	pts	u 0.5	'+164	'+150/-198	'+145/-200	150/-200	-	151/-204	148/-195	'+145/-190	46%	70%	46%	0,0,2,0,0,1,1,0,0,0
-4.5	-450 MGM	82%	COL @ DAL		spread	u -2.5	'+340/-500	'+340/-525	'+300/-450	'+340/-550	300/-479	331/-451	340/-455	-	-	-	-	
-4.6	-265 BR	73%	COL @ DAL		1p_total	u 2.0	-	-	'+200/-275	-	-	216/-273	195/-265	-	-	-	-	
-4.6	-130 ESPN	57%	COL @ DAL		gift	o  	-138/+108	-135/+105	-	-125/-105	-	-	-137/106	-130/+105	-	-	-	
-4.7	114 BR	47%	COL @ DAL	Gabriel Landeskog	pts	u 0.5	-148	-142/+110	-140/+105	-140/+110	-	-142/107	-150/114	-140/+110	-	50%	50%	0,2,0,2
-4.7	-2800 DK	97%	COL @ DAL		total	u 9.5	'+1200/-4500	'+1000/-2800	-	'+1000/-2500	-	-	-	-	-	-	-	
-4.7	-475 DK	83%	COL @ DAL		away_total	u 4.5	-	'+310/-475	-	-	-	-	340/-530	-	-	-	-	
-4.7	-170 DK	63%	COL @ DAL		away_total	o 2.5	-174/+136	-170/+130	-	-	-174/126	-171/140	-186/140	-	-	-	-	
-4.7	-274 CZ	73%	COL @ DAL		spread	o 1.0	-	-	-	-	-274/190	-	-275/215	-	-	-	-	
-4.7	-135 MGM	57%	COL @ DAL		3p_ml	o  	-	-	-135/-105	-	-	-130/114	-	-	-	-	-	
-4.8	-370 FD	79%	COL @ DAL	Nathan Mackinnon	pts	o 0.5	-370	-380	-	-400	-	-	-400/275	-	80%	90%	80%	1,3,1,1,3,1,0,1,2,3
-4.8	-106 FD	51%	COL @ DAL	Mikko Rantanen	ast	o 0.5	-106	-110/-120	-	-110/-120	-117/-125	-111/-120	-	-110/-120	-	50%	54%	0,2,1,0,0,0,1,0,2,3
-4.8	-700 MGM	88%	COL @ DAL		3p_total	o 1.0	-	-	-700/+400	-	-	-	-835/460	-	-	-	-	
-4.9	-160 ESPN	62%	COL @ DAL	Thomas Harley	ast	u 0.5	'+136	'+126/-162	-	'+130/-165	115/-170	124/-166	-	'+120/-160	70%	70%	67%	0,1,0,0,1,0,1,0,0,0
-4.9	-188 DK	65%	COL @ DAL	Roope Hintz	ast	u 0.5	'+164	'+145/-188	-	'+145/-190	139/-208	144/-194	-	'+145/-190	65%	60%	68%	0,1,1,0,0,0,0,0,1,2
-4.9	-148 BR	60%	COL @ DAL	Mikael Granlund	pts	u 0.5	'+134	'+115/-148	'+110/-150	120/-150	-	115/-155	112/-148	'+115/-150	-	80%	54%	0,0,0,0,0,0,1,0,0,1
-4.9	-200 ESPN	67%	COL @ DAL	Devon Toews	ast	u 0.5	'+162	'+155/-204	-	'+155/-210	145/-218	157/-213	-	'+150/-200	61%	50%	62%	2,1,0,0,0,0,0,1,1,1
-4.9	-285 MGM	74%	COL @ DAL		1p_total	o 1.0	-	-	-285/+210	-	-	-269/214	-315/225	-	-	-	-	
-4.9	135 MGM	43%	COL @ DAL		3p_spread	o -0.5	-	-	'+135/-200	-	-	136/-157	-	-	-	-	-	
-5.0	-188 DK	65%	COL @ DAL	Wyatt Johnston	ast	u 0.5	'+150	'+145/-188	-	'+145/-190	139/-208	147/-199	-	'+145/-190	70%	60%	59%	0,0,0,0,1,1,0,0,1,1
-5.0	-485 DK	83%	COL @ DAL		away_total	o 1.5	-	-485/+320	-	-	-	-	-530/340	-	-	-	-	
-5.1	-220 BR	69%	COL @ DAL	Jonathan Drouin	pts	u 0.5	'+164	'+170/-225	'+165/-225	170/-230	-	174/-239	163/-220	'+170/-230	52%	60%	49%	2,0,0,0,1,1,0,1,0,0
-5.1	-140 MGM	58%	COL @ DAL	Gabriel Landeskog	pts	o 0.5	-148	-142/+110	-140/+105	-140/+110	-	-142/107	-150/114	-140/+110	-	50%	50%	0,2,0,2
-5.1	140 BR	42%	COL @ DAL		away_total	u 2.5	-174/+136	-170/+130	-	-	-174/126	-171/140	-186/140	-	-	-	-	
-5.1	-165 BR	62%	COL @ DAL		2p_total	u 2.0	-	-	'+125/-175	-	-	135/-164	123/-165	-	-	-	-	
-5.1	-500 MGM	83%	COL @ DAL		1p_total	o 0.5	-	-	-500/+325	-550/+340	-	-476/352	-560/360	-	-	-	-	
-5.2	-260 ESPN	72%	COL @ DAL	Mikael Granlund	ast	u 0.5	'+215	'+195/-265	-	'+195/-270	179/-278	201/-281	-	'+190/-260	-	90%	68%	0,0,0,0,0,0,1,0,0,0
-5.2	-160 MGM	62%	COL @ DAL	Devon Toews	pts	u 0.5	'+124	'+126/-162	'+120/-160	130/-165	-	125/-166	128/-167	'+120/-160	52%	30%	54%	3,1,0,1,1,0,0,1,1,1
-5.3	-300 ESPN	75%	COL @ DAL	Brock Nelson	ast	u 0.5	'+240	'+220/-300	-	'+215/-310	205/-328	231/-330	-	'+210/-300	-	80%	65%	0,0,0,0,0,0,0,2,0,2
-5.3	165 BR	38%	COL @ DAL		3p_total	o 2.5	-	-	'+155/-220	-	-	153/-188	165/-230	-	-	-	-	
-5.3	-1204 CZ	92%	COL @ DAL		spread	u -3.0	-	-	-	-	548/-1204	-	650/-1250	-	-	-	-	
-5.4	-110 MGM	52%	COL @ DAL	Matt Duchene	pts	u 0.5	-104	-120/-110	-118/-110	-120/-110	-	-119/-112	-114/-114	-115/-115	52%	80%	42%	0,0,0,1,0,0,0,0,1,0
-5.4	-154 DK	61%	COL @ DAL	Martin Necas	ast	u 0.5	'+128	'+120/-154	-	'+125/-155	111/-164	118/-157	-	'+115/-155	-	50%	58%	0,0,1,1,1,0,0,0,2,1
-5.4	-190 ESPN	66%	COL @ DAL	Gabriel Landeskog	ast	u 0.5	'+124	'+150/-198	-	'+150/-200	139/-208	152/-205	-	'+145/-190	-	50%	50%	0,1,0,2
-5.4	-125 MGM	56%	COL @ DAL	Artturi Lehkonen	pts	o 0.5	-125	-125/-105	-125/-105	-125/-105	-	-126/-105	-136/105	-125/-105	56%	50%	50%	0,0,0,1,1,1,0,0,1,1
-5.4	-224 CZ	69%	COL @ DAL		total	o 5.0	-	-	-	-	-224/159	-214/177	-	-	-	-	-	
-5.4	-310 FD	76%	COL @ DAL		total	o 4.5	-310/+230	-325/+230	-	-320/+220	-324/219	-316/253	-	-	-	-	-	
-5.5	-500 BR	83%	COL @ DAL	Roope Hintz	pts	u 1.5	'+390	'+320	-	'+330	-	-	320/-500	-	80%	80%	77%	0,1,1,0,1,0,0,0,2,4
-5.5	125 BR	44%	COL @ DAL	Martin Necas	pts	u 0.5	-142	-154/+120	-155/+120	-160/128	-	-161/121	-162/125	-155/+115	-	40%	42%	1,0,1,1,1,0,0,0,2,2
-5.5	-5000 FD	98%	COL @ DAL		total	o 2.5	-5000/+1300	-	-	-4000/+1200	-	-	-	-	-	-	-	
-5.5	-425 MGM	81%	COL @ DAL		1p_total	u 2.5	-	-	'+290/-425	'+290/-450	-	313/-415	300/-435	-	-	-	-	
-5.5	-625 MGM	86%	COL @ DAL		2p_spread	u -1.0	-	-	'+360/-625	-	-	417/-562	-	-	-	-	-	
-5.6	-400 ESPN	80%	COL @ DAL	Jamie Benn	ast	u 0.5	'+285	'+280/-400	-	'+280/-400	266/-458	293/-441	-	'+275/-400	57%	80%	63%	0,0,2,0,0,1,0,0,0,0
-5.6	-625 BR	86%	COL @ DAL	Artturi Lehkonen	pts	u 1.5	'+450	'+380	-	'+400	-	-	370/-625	-	82%	100%	88%	0,0,0,1,1,1,0,0,1,1
-5.6	-152 FD	60%	COL @ DAL		2p_total	o 1.5	-152/+120	-	-155/+110	-	-	-146/125	-162/120	-	-	-	-	
-5.7	-255 DK	72%	COL @ DAL	Tyler Seguin	ast	u 0.5	'+200	'+190/-255	-	'+190/-260	173/-268	195/-271	-	'+190/-260	68%	60%	56%	1,1,0,1,0,0,0,0,1,0
-5.7	110 ESPN	48%	COL @ DAL	Cale Makar	ast	u 0.5	-125	-142/+110	-	-140/+110	-146/100	-142/107	-	-140/+110	38%	40%	45%	2,1,0,1,1,1,0,0,0,2
-5.8	-114 BR	53%	COL @ DAL	Thomas Harley	pts	u 0.5	'+100	-115/-115	-115/-115	-115/-115	-	-116/-114	-114/-114	-115/-115	62%	40%	52%	1,1,0,0,1,1,1,0,1,0
-5.8	120 BR	45%	COL @ DAL	Roope Hintz	pts	u 0.5	-130	-148/+115	-155/+115	-155/125	-	-155/117	-159/120	-155/+115	47%	50%	46%	0,1,1,0,1,0,0,0,2,4
-5.8	-370 DK	79%	COL @ DAL	Jonathan Drouin	ast	u 0.5	'+285	'+260/-370	-	'+265/-370	234/-388	275/-408	-	'+250/-375	62%	60%	55%	1,0,0,0,1,1,0,1,0,0
-5.8	-560 FD	85%	COL @ DAL		total	o 3.5	-560/+370	-575/+360	-	-600/+375	-	-	-	-	-	-	-	
-6.0	-370 DK	79%	COL @ DAL		home_total	o 1.5	-	-370/+255	-	-	-	-	-375/260	-	-	-	-	
