EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	CZ	PN	Kambi/BR	ESPN	LYR	L10	SZN	Splits
-6.1	215 BR	32%	COL @ DAL		spread	u 1.0	-	-	-	-	-274/190	-	-275/215	-	-	-	-	
-6.1	-275 MGM	73%	COL @ DAL		1p_spread	o 0.5	-	-	-275/+190	-245/+195	-	-272/221	-	-	-	-	-	
-6.1	-135 MGM	57%	COL @ DAL		2p_ml	o  	-	-	-135/-105	-	-	-126/110	-	-	-	-	-	
-6.2	-129 BR	56%	COL @ DAL	Valeri Nichushkin	pts	u 0.5	'+104	'+100/-130	-105/-130	100/-130	-	-104/-127	-103/-129	'+100/-130	32%	60%	46%	0,1,0,2,0,0,1,0,0,2
-6.2	-480 BR	83%	COL @ DAL	Martin Necas	pts	u 1.5	'+370	'+295	-	'+300	-	-	310/-480	-	-	80%	75%	1,0,1,1,1,0,0,0,2,2
-6.2	120 BR	45%	COL @ DAL		2p_total	u 1.5	-152/+120	-	-155/+110	-	-	-146/125	-162/120	-	-	-	-	
-6.3	115 MGM	47%	COL @ DAL	Wyatt Johnston	pts	u 0.5	-136	-148/+115	-155/+115	-155/125	-	-155/117	-129/-103	-155/+115	52%	40%	35%	0,1,1,0,1,1,0,0,3,1
-6.3	215 FD	32%	COL @ DAL	Mikael Granlund	ast	o 0.5	'+215	'+195/-265	-	'+195/-270	179/-278	201/-281	-	'+190/-260	-	10%	32%	0,0,0,0,0,0,1,0,0,0
-6.3	-385 BR	79%	COL @ DAL		spread	u -2.0	-	-	-	-	262/-404	-	295/-385	-	-	-	-	
-6.4	128 BR	44%	COL @ DAL	Devon Toews	pts	o 0.5	'+124	'+126/-162	'+120/-160	130/-165	-	125/-166	128/-167	'+120/-160	48%	70%	46%	3,1,0,1,1,0,0,1,1,1
-6.4	-1667 BR	94%	COL @ DAL	Brock Nelson	pts	u 1.5	'+830	'+600	-	'+700	-	-	650/-1667	-	-	70%	82%	0,0,2,0,0,0,0,2,0,2
-6.4	200 BR	33%	COL @ DAL		giff	o  	'+186/-250	-	-	-	-	-	200/-275	'+185/-235	-	-	-	
-6.5	480 FD	17%	COL @ DAL	Nathan Mackinnon	pts	o 2.5	'+480	'+350	-	'+375	-	-	410	-	16%	30%	19%	1,3,1,1,3,1,0,1,2,3
-6.5	-120 ESPN	55%	COL @ DAL	Mikko Rantanen	ast	u 0.5	-106	-110/-120	-	-110/-120	-117/-125	-111/-120	-	-110/-120	-	50%	46%	0,2,1,0,0,0,1,0,2,3
-6.6	-248 DK	71%	COL @ DAL	Artturi Lehkonen	ast	u 0.5	'+164	'+185/-248	-	'+185/-250	168/-258	188/-261	-	'+180/-250	64%	80%	77%	0,0,0,1,0,1,0,0,0,0
-6.6	-275 MGM	73%	COL @ DAL		2p_spread	o 0.5	-	-	-275/+180	-	-	-250/204	-	-	-	-	-	
-6.7	-286 BR	74%	COL @ DAL		2p_total	u 2.5	-	-	'+200/-295	-	-	-	205/-286	-	-	-	-	
-6.7	225 BR	31%	COL @ DAL		1p_total	u 1.0	-	-	-285/+210	-	-	-269/214	-315/225	-	-	-	-	
-6.7	190 BR	34%	COL @ DAL		spread	o -1.5	'+180/-235	'+190/-230	190/-235	'+190/-230	185/-225	192/-228	190/-240	175/-225	-	-	-	
-6.7	290 MGM	26%	COL @ DAL		3p_spread	o -1.0	-	-	'+290/-450	-	-	275/-348	-	-	-	-	-	
-7.0	-1000 BR	91%	COL @ DAL	Valeri Nichushkin	pts	u 1.5	'+560	'+450	-	'+500	-	-	510/-1000	-	71%	80%	85%	0,1,0,2,0,0,1,0,0,2
-7.0	-1000 BR	91%	COL @ DAL	Tyler Seguin	pts	u 1.5	'+560	'+475	-	'+475	-	-	510/-1000	-	83%	80%	80%	2,2,0,1,0,1,1,0,1,0
-7.0	-835 BR	89%	COL @ DAL	Thomas Harley	pts	u 1.5	'+540	'+400	-	'+425	-	-	450/-835	-	87%	100%	85%	1,1,0,0,1,1,1,0,1,0
-7.0	-1430 BR	93%	COL @ DAL	Mikael Granlund	pts	u 1.5	'+700	'+550	-	'+600	-	-	600/-1430	-	-	100%	86%	0,0,0,0,0,0,1,0,0,1
-7.0	370 FD	21%	COL @ DAL	Martin Necas	pts	o 1.5	'+370	'+295	-	'+300	-	-	310/-480	-	-	20%	25%	1,0,1,1,1,0,0,0,2,2
-7.0	-3335 BR	97%	COL @ DAL	Jamie Benn	pts	u 1.5	'+1000	'+750	-	'+850	-	-	850/-3335	-	82%	90%	94%	0,0,2,0,0,1,1,0,0,0
-7.1	390 FD	20%	COL @ DAL	Roope Hintz	pts	o 1.5	'+390	'+320	-	'+330	-	-	320/-500	-	20%	20%	23%	0,1,1,0,1,0,0,0,2,4
-7.1	-148 CZ	60%	COL @ DAL		total	u 6.0	-	-	-	-	108/-148	115/-137	-	-	-	-	-	
-7.2	255 FD	28%	COL @ DAL	Mikko Rantanen	pts	o 1.5	'+255	'+205	-	'+210	-	-	240/-335	-	-	30%	31%	0,2,1,0,0,0,1,0,3,4
-7.3	-835 BR	89%	COL @ DAL	Matt Duchene	pts	u 1.5	'+500	'+400	-	'+425	-	-	450/-835	-	85%	100%	72%	0,0,0,1,0,0,0,0,1,0
-7.3	-143 BR	59%	COL @ DAL		1p_home_total	o 0.5	-	-	-	-	-	-135/109	-143/105	-	-	-	-	
-7.4	162 FD	38%	COL @ DAL	Devon Toews	ast	o 0.5	'+162	'+155/-204	-	'+155/-210	145/-218	157/-213	-	'+150/-200	39%	50%	38%	2,1,0,0,0,0,0,1,1,1
-7.4	125 BR	44%	COL @ DAL		spread	o -1.0	-	-	-	-	120/-166	-	125/-152	-	-	-	-	
-7.5	-335 BR	77%	COL @ DAL	Mikko Rantanen	pts	u 1.5	'+255	'+205	-	'+210	-	-	240/-335	-	-	70%	69%	0,2,1,0,0,0,1,0,3,4
-7.5	-2000 BR	95%	COL @ DAL	Mason Marchment	pts	u 1.5	'+800	'+600	-	'+650	-	-	700/-2000	-	89%	100%	82%	1,1,0,1,0,1,1,0,1,0
-7.5	-560 BR	85%	COL @ DAL	Gabriel Landeskog	pts	u 1.5	'+350	'+310	-	-	-	-	340/-560	-	-	50%	50%	0,2,0,2
-7.5	-220 MGM	69%	COL @ DAL		3p_total	u 2.5	-	-	'+155/-220	-	-	153/-188	165/-230	-	-	-	-	
-7.6	148 BR	40%	COL @ DAL		3p_total	u 1.5	-166/+130	-	-200/+140	-	-	-207/168	-200/148	-	-	-	-	
-7.6	105 BR	49%	COL @ DAL		1p_home_total	u 0.5	-	-	-	-	-	-135/109	-143/105	-	-	-	-	
-7.7	150 FD	40%	COL @ DAL	Wyatt Johnston	ast	o 0.5	'+150	'+145/-188	-	'+145/-190	139/-208	147/-199	-	'+145/-190	30%	40%	41%	0,0,0,0,1,1,0,0,1,1
-7.7	125 BR	44%	COL @ DAL		1p_away_total	u 0.5	-	-	-	-	-	-159/128	-175/125	-	-	-	-	
-7.8	-250 MGM	71%	COL @ DAL		3p_spread	o 0.5	-	-	-250/+165	-	-	-220/181	-	-	-	-	-	
-7.9	-5000 BR	98%	COL @ DAL	Jonathan Drouin	pts	u 1.5	'+900	'+750	-	'+900	-	-	1000/-5000	-	82%	90%	73%	2,0,0,0,1,1,0,1,0,0
-7.9	-2000 BR	95%	COL @ DAL	Devon Toews	pts	u 1.5	'+700	'+600	-	'+650	-	-	700/-2000	-	91%	90%	91%	3,1,0,1,1,0,0,1,1,1
-7.9	-220 MGM	69%	COL @ DAL		2p_spread	u -0.5	-	-	'+154/-220	-	-	164/-189	-	-	-	-	-	
-8.0	126 DK	44%	COL @ DAL	Nathan Mackinnon	ast	u 0.5	-148	-162/+126	-	-165/+130	-178/120	-169/127	-	-165/+125	27%	40%	36%	1,2,0,1,1,0,0,0,1,2
-8.0	108 CZ	48%	COL @ DAL		total	o 6.0	-	-	-	-	108/-148	115/-137	-	-	-	-	-	
-8.3	-175 BR	64%	COL @ DAL		1p_away_total	o 0.5	-	-	-	-	-	-159/128	-175/125	-	-	-	-	
-8.5	154 MGM	39%	COL @ DAL		2p_spread	o -0.5	-	-	'+154/-220	-	-	164/-189	-	-	-	-	-	
-8.6	200 FD	33%	COL @ DAL	Tyler Seguin	ast	o 0.5	'+200	'+190/-255	-	'+190/-260	173/-268	195/-271	-	'+190/-260	32%	40%	44%	1,1,0,1,0,0,0,0,1,0
-8.6	240 FD	29%	COL @ DAL	Brock Nelson	ast	o 0.5	'+240	'+220/-300	-	'+215/-310	205/-328	231/-330	-	'+210/-300	-	20%	35%	0,0,0,0,0,0,0,2,0,2
-8.7	-670 BR	87%	COL @ DAL	Wyatt Johnston	pts	u 1.5	'+390	'+320	-	'+330	-	-	390/-670	-	82%	90%	83%	0,1,1,0,1,1,0,0,3,1
-8.7	150 DK	40%	COL @ DAL	Gabriel Landeskog	ast	o 0.5	'+124	'+150/-198	-	'+150/-200	139/-208	152/-205	-	'+145/-190	-	50%	50%	0,1,0,2
-8.9	125 MGM	44%	COL @ DAL		2p_total	o 2.0	-	-	'+125/-175	-	-	135/-164	123/-165	-	-	-	-	
-9.0	165 MGM	38%	COL @ DAL	Mikko Rantanen	pts	u 0.5	-194	-218/+165	-220/+165	-225/165	-	-233/170	-210/155	-210/+160	-	50%	31%	0,2,1,0,0,0,1,0,3,4
-9.0	360 BR	22%	COL @ DAL		2p_total	u 1.0	-	-	-475/+290	-	-	-461/343	-590/360	-	-	-	-	
-9.0	-450 MGM	82%	COL @ DAL		3p_spread	u -1.0	-	-	'+290/-450	-	-	275/-348	-	-	-	-	-	
-9.1	290 BR	26%	COL @ DAL		spread	u 1.5	-410/+290	-385/+265	-325/+240	-375/+250	-384/252	-390/294	-385/290	-	-	-	-	
-9.4	265 FD	27%	COL @ DAL	Valeri Nichushkin	ast	o 0.5	'+265	'+230/-320	-	'+250/-350	225/-368	257/-375	-	'+235/-340	32%	10%	25%	0,0,0,1,0,0,0,0,0,0
-9.5	265 FD	27%	COL @ DAL	Mason Marchment	ast	o 0.5	'+265	'+230/-320	-	'+250/-350	225/-368	259/-379	-	'+235/-340	25%	30%	30%	1,0,0,0,0,1,1,0,0,0
-9.5	360 FD	22%	COL @ DAL		total	o 7.5	'+360/-530	'+300/-450	-	'+330/-500	-	-	-	-	-	-	-	
-9.5	-124 BR	55%	COL @ DAL		3p_total	u 2.0	-	-	-110/-125	-	-	-115/-102	-107/-124	-	-	-	-	
-10.0	170 ESPN	37%	COL @ DAL	Jonathan Drouin	pts	o 0.5	'+164	'+170/-225	'+165/-225	170/-230	-	174/-239	163/-220	'+170/-230	48%	40%	51%	2,0,0,0,1,1,0,1,0,0
-10.2	285 FD	26%	COL @ DAL	Jonathan Drouin	ast	o 0.5	'+285	'+260/-370	-	'+265/-370	234/-388	275/-408	-	'+250/-375	38%	40%	45%	1,0,0,0,1,1,0,1,0,0
-10.4	-105 MGM	51%	COL @ DAL		2p_ml	u  	-	-	-135/-105	-	-	-126/110	-	-	-	-	-	
-10.7	185 DK	35%	COL @ DAL	Artturi Lehkonen	ast	o 0.5	'+164	'+185/-248	-	'+185/-250	168/-258	188/-261	-	'+180/-250	36%	20%	23%	0,0,0,1,0,1,0,0,0,0
-10.8	295 BR	25%	COL @ DAL		spread	o -2.0	-	-	-	-	262/-404	-	295/-385	-	-	-	-	
-11.2	160 MGM	38%	COL @ DAL		1p_spread	o -0.5	-	-	'+160/-225	'+180/-220	-	179/-208	-	'+160/-200	-	-	-	
-11.4	-200 MGM	67%	COL @ DAL		3p_spread	u -0.5	-	-	'+135/-200	-	-	136/-157	-	-	-	-	-	
-11.6	600 FD	14%	COL @ DAL		total	o 8.5	'+600/-1100	'+460/-800	-	'+500/-850	-	544/-774	-	-	-	-	-	
-11.9	200 MGM	33%	COL @ DAL		1p_total	o 2.0	-	-	'+200/-275	-	-	216/-273	195/-265	-	-	-	-	
-12.1	-105 MGM	51%	COL @ DAL		3p_ml	u  	-	-	-135/-105	-	-	-130/114	-	-	-	-	-	
-12.4	165 MGM	38%	COL @ DAL		3p_spread	u 0.5	-	-	-250/+165	-	-	-220/181	-	-	-	-	-	
-12.5	450 FD	18%	COL @ DAL	Artturi Lehkonen	pts	o 1.5	'+450	'+380	-	'+400	-	-	370/-625	-	18%	-	12%	0,0,0,1,1,1,0,0,1,1
-12.7	540 FD	16%	COL @ DAL		spread	u 2.5	-950/+540	-675/+410	-625/+400	-850/+475	-	-777/510	-835/500	-	-	-	-	
-12.9	159 CZ	39%	COL @ DAL		total	u 5.0	-	-	-	-	-224/159	-214/177	-	-	-	-	-	
-13.2	340 BR	23%	COL @ DAL		away_total	o 4.5	-	'+310/-475	-	-	-	-	340/-530	-	-	-	-	
-13.3	205 BR	33%	COL @ DAL		2p_total	o 2.5	-	-	'+200/-295	-	-	-	205/-286	-	-	-	-	
-13.4	525 BR	16%	COL @ DAL		2p_total	u 0.5	-	-	-750/+425	-	-	-	-1000/525	-	-	-	-	
-13.5	230 FD	30%	COL @ DAL		total	u 4.5	-310/+230	-325/+230	-	-320/+220	-324/219	-316/253	-	-	-	-	-	
-13.6	190 MGM	34%	COL @ DAL		1p_spread	u 0.5	-	-	-275/+190	-245/+195	-	-272/221	-	-	-	-	-	
-13.7	750 FD	12%	COL @ DAL	Martin Necas	ast	o 1.5	'+750	'+550	-	-	-	-	-	-	-	10%	14%	0,0,1,1,1,0,0,0,2,1
-14.4	275 BR	27%	COL @ DAL	Nathan Mackinnon	pts	u 0.5	-370	-380	-	-400	-	-	-400/275	-	20%	10%	20%	1,3,1,1,3,1,0,1,2,3
-14.4	260 BR	28%	COL @ DAL		home_total	u 1.5	-	-370/+255	-	-	-	-	-375/260	-	-	-	-	
-14.7	360 BR	22%	COL @ DAL		1p_total	u 0.5	-	-	-500/+325	-550/+340	-	-476/352	-560/360	-	-	-	-	
-15.0	340 BR	23%	COL @ DAL		away_total	u 1.5	-	-485/+320	-	-	-	-	-530/340	-	-	-	-	
-15.1	180 MGM	36%	COL @ DAL		2p_spread	u 0.5	-	-	-275/+180	-	-	-250/204	-	-	-	-	-	
-15.5	500 FD	17%	COL @ DAL	Mikko Rantanen	ast	o 1.5	'+500	'+425	-	-	-	-	-	-	-	30%	19%	0,2,1,0,0,0,1,0,2,3
-15.8	300 BR	25%	COL @ DAL		1p_total	o 2.5	-	-	'+290/-425	'+290/-450	-	313/-415	300/-435	-	-	-	-	
-15.8	340 BR	23%	COL @ DAL		spread	o -2.5	'+340/-500	'+340/-525	'+300/-450	'+340/-550	300/-479	331/-451	340/-455	-	-	-	-	
-16.8	540 FD	16%	COL @ DAL	Thomas Harley	pts	o 1.5	'+540	'+400	-	'+425	-	-	450/-835	-	13%	-	15%	1,1,0,0,1,1,1,0,1,0
-16.8	285 FD	26%	COL @ DAL	Jamie Benn	ast	o 0.5	'+285	'+280/-400	-	'+280/-400	266/-458	293/-441	-	'+275/-400	43%	20%	37%	0,0,2,0,0,1,0,0,0,0
-17.7	460 BR	18%	COL @ DAL		3p_total	u 1.0	-	-	-700/+400	-	-	-	-835/460	-	-	-	-	
-19.4	800 FD	11%	COL @ DAL	Thomas Harley	ast	o 1.5	'+800	'+600	-	-	-	-	-	-	4%	-	10%	0,1,0,0,1,0,1,0,0,0
-19.8	350 FD	22%	COL @ DAL	Gabriel Landeskog	pts	o 1.5	'+350	'+310	-	-	-	-	340/-560	-	-	50%	50%	0,2,0,2
-21.5	370 FD	21%	COL @ DAL		total	u 3.5	-560/+370	-575/+360	-	-600/+375	-	-	-	-	-	-	-	
-22.0	500 FD	17%	COL @ DAL	Matt Duchene	pts	o 1.5	'+500	'+400	-	'+425	-	-	450/-835	-	15%	-	28%	0,0,0,1,0,0,0,0,1,0
-22.6	390 BR	20%	COL @ DAL	Wyatt Johnston	pts	o 1.5	'+390	'+320	-	'+330	-	-	390/-670	-	18%	10%	17%	0,1,1,0,1,1,0,0,3,1
-24.3	360 MGM	22%	COL @ DAL		2p_spread	o -1.0	-	-	'+360/-625	-	-	417/-562	-	-	-	-	-	
-26.4	560 FD	15%	COL @ DAL	Valeri Nichushkin	pts	o 1.5	'+560	'+450	-	'+500	-	-	510/-1000	-	29%	20%	15%	0,1,0,2,0,0,1,0,0,2
-26.4	560 FD	15%	COL @ DAL	Tyler Seguin	pts	o 1.5	'+560	'+475	-	'+475	-	-	510/-1000	-	17%	20%	20%	2,2,0,1,0,1,1,0,1,0
-26.5	1300 FD	7%	COL @ DAL		spread	u 3.5	/+1300	-2800/+1000	-2000/+800	-	-	-	-	-	-	-	-	
-28.4	650 BR	13%	COL @ DAL		spread	o -3.0	-	-	-	-	548/-1204	-	650/-1250	-	-	-	-	
-29.4	870 FD	10%	COL @ DAL		spread	o -3.5	'+870/-2200	'+850/-2000	'+625/-1200	'+750/-2000	-	-	750/-1430	-	-	-	-	
-29.8	900 FD	10%	COL @ DAL	Cale Makar	pts	o 2.5	'+900	'+650	-	'+750	-	-	700	-	13%	20%	11%	3,1,0,1,1,1,0,0,0,3
-30.1	900 FD	10%	COL @ DAL	Roope Hintz	ast	o 1.5	'+900	'+700	-	-	-	-	-	-	11%	10%	14%	0,1,1,0,0,0,0,0,1,2
-32.1	830 FD	11%	COL @ DAL	Brock Nelson	pts	o 1.5	'+830	'+600	-	'+700	-	-	650/-1667	-	-	30%	18%	0,0,2,0,0,0,0,2,0,2
-32.2	870 FD	10%	COL @ DAL	Wyatt Johnston	ast	o 1.5	'+870	'+700	-	-	-	-	-	-	6%	-	5%	0,0,0,0,1,1,0,0,1,1
-33.1	700 FD	12%	COL @ DAL	Mikael Granlund	pts	o 1.5	'+700	'+550	-	'+600	-	-	600/-1430	-	-	-	14%	0,0,0,0,0,0,1,0,0,1
-33.6	1300 FD	7%	COL @ DAL	Nathan Mackinnon	ast	o 2.5	'+1300	'+850	-	-	-	-	-	-	3%	-	11%	1,2,0,1,1,0,0,0,1,2
-37.1	900 FD	10%	COL @ DAL	Mikko Rantanen	pts	o 2.5	'+900	'+650	-	'+750	-	-	850	-	-	20%	15%	0,2,1,0,0,0,1,0,3,4
-37.6	750 DK	12%	COL @ DAL	Gabriel Landeskog	ast	o 1.5	'+680	'+750	-	-	-	-	-	-	-	25%	25%	0,1,0,2
-38.4	900 FD	10%	COL @ DAL	Matt Duchene	ast	o 1.5	'+900	'+750	-	-	-	-	-	-	6%	-	14%	0,0,0,1,0,0,0,0,1,0
-38.4	900 FD	10%	COL @ DAL	Devon Toews	ast	o 1.5	'+900	'+750	-	-	-	-	-	-	6%	10%	7%	2,1,0,0,0,0,0,1,1,1
-39.6	1200 FD	8%	COL @ DAL		total	o 9.5	'+1200/-4500	'+1000/-2800	-	'+1000/-2500	-	-	-	-	-	-	-	
-42.1	800 FD	11%	COL @ DAL	Mason Marchment	pts	o 1.5	'+800	'+600	-	'+650	-	-	700/-2000	-	11%	-	18%	1,1,0,1,0,1,1,0,1,0
-42.2	550 MGM	15%	COL @ DAL		1p_spread	o -1.5	-	-	'+550/-1000	'+700/-1200	-	-	-	-	-	-	-	
-43.0	1500 FD	6%	COL @ DAL	Cale Makar	ast	o 2.5	'+1500	'+950	-	-	-	-	-	-	6%	-	1%	2,1,0,1,1,1,0,0,0,2
-45.0	1060 FD	9%	COL @ DAL	Artturi Lehkonen	ast	o 1.5	'+1060	'+850	-	-	-	-	-	-	3%	-	3%	0,0,0,1,0,1,0,0,0,0
-46.6	1400 FD	7%	COL @ DAL	Brock Nelson	ast	o 1.5	'+1400	'+950	-	-	-	-	-	-	-	20%	4%	0,0,0,0,0,0,0,2,0,2
-48.5	700 BR	12%	COL @ DAL	Devon Toews	pts	o 1.5	'+700	'+600	-	'+650	-	-	700/-2000	-	9%	10%	9%	3,1,0,1,1,0,0,1,1,1
-54.3	1000 FD	9%	COL @ DAL	Jamie Benn	pts	o 1.5	'+1000	'+750	-	'+850	-	-	850/-3335	-	18%	10%	6%	0,0,2,0,0,1,1,0,0,0
-54.6	1300 FD	7%	COL @ DAL		total	u 2.5	-5000/+1300	-	-	-4000/+1200	-	-	-	-	-	-	-	
-57.3	1100 FD	8%	COL @ DAL	Tyler Seguin	ast	o 1.5	'+1100	'+950	-	-	-	-	-	-	6%	-	8%	1,1,0,1,0,0,0,0,1,0
-57.3	1100 FD	8%	COL @ DAL	Mikael Granlund	ast	o 1.5	'+1100	'+950	-	-	-	-	-	-	-	-	8%	0,0,0,0,0,0,1,0,0,0
-59.2	1700 FD	6%	COL @ DAL		spread	o -4.5	'+1700	-	-	'+1100/-6600	-	-	-	-	-	-	-	
-59.3	1400 BR	7%	COL @ DAL	Gabriel Landeskog	pts	o 2.5	'+1300	'+850	-	-	-	-	1400	-	-	-	-	0,2,0,2
-65.3	1400 FD	7%	COL @ DAL	Roope Hintz	pts	o 2.5	'+1400	'+950	-	'+1100	-	-	1200	-	8%	10%	10%	0,1,1,0,1,0,0,0,2,4
-66.4	1700 BR	6%	COL @ DAL	Wyatt Johnston	pts	o 2.5	'+1400	'+950	-	'+1100	-	-	1700	-	7%	10%	5%	0,1,1,0,1,1,0,0,3,1
-66.6	1000 BR	9%	COL @ DAL	Jonathan Drouin	pts	o 1.5	'+900	'+750	-	'+900	-	-	1000/-5000	-	18%	10%	27%	2,0,0,0,1,1,0,1,0,0
-67.6	1300 FD	7%	COL @ DAL	Martin Necas	pts	o 2.5	'+1300	'+950	-	'+1100	-	-	1200	-	-	-	8%	1,0,1,1,1,0,0,0,2,2
-80.9	1500 FD	6%	COL @ DAL	Mikko Rantanen	ast	o 2.5	'+1500	'+1200	-	-	-	-	-	-	-	10%	5%	0,2,1,0,0,0,1,0,2,3
-85.1	1600 BR	6%	COL @ DAL	Artturi Lehkonen	pts	o 2.5	'+1500	'+950	-	'+1400	-	-	1600	-	3%	-	3%	0,0,0,1,1,1,0,0,1,1
-89.6	2000 BR	5%	COL @ DAL	Matt Duchene	pts	o 2.5	'+1700	'+950	-	'+1400	-	-	2000	-	4%	-	7%	0,0,0,1,0,0,0,0,1,0
