NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Matthew Tkachuk	FLA	-115	H	ast	0.5	0.84	68% - 42%	51% - 62%	56%	47%	40%	1,0,0,0,1,0,0,0,1,0	49%	-130	'+100
Aleksander Barkov	FLA	-115	H	ast	0.5	0.75	67% - 33%	52% - 53%	53%	33%	20%	0,0,0,2,0,0,1,0,0,0	50%	-120	-110
Jack Eichel	VGK	-105	A	ast	0.5	0.64	61% - 34%	55% - 50%	52%	67%	80%	1,2,2,0,1,1,1,0,1,2	32%	'+100	-130
Shea Theodore	VGK	-105	A	ast	0.5	0.58	51% - 45%	50% - 49%	49%	40%	60%	1,0,1,0,1,0,1,0,1,0	39%	'+150	-185
Mark Stone	VGK	-105	A	ast	0.5	0.52	52% - 30%	54% - 38%	45%	40%	40%	1,1,0,0,0,0,1,1,0,0	47%	'+130	-160
Chandler Stephenson	VGK	-105	A	ast	0.5	0.58	50% - 33%	42% - 46%	44%	27%	40%	0,2,1,0,0,0,1,1,0,0	41%	'+135	-165
Brandon Montour	FLA	-115	H	ast	0.5	0.61	48% - 40%	43% - 46%	44%	7%	0%	0,0,0,0,0,0,0,0,0,0	23%	'+105	-135
Alex Pietrangelo	VGK	-105	A	ast	0.5	0.56	52% - 18%	35% - 44%	40%	27%	0%	0,0,0,0,0,0,0,1,1,0	37%	'+165	-205
William Karlsson	VGK	-105	A	ast	0.5	0.44	46% - 19%	37% - 37%	37%	27%	40%	0,1,0,1,0,0,0,0,0,1	29%	'+200	-250
Ivan Barbashev	VGK	-105	A	ast	0.5	0.4	45% - 24%	35% - 36%	36%	47%	60%	0,1,1,1,0,2,1,0,2,1	32%	'+190	-235
Carter Verhaeghe	FLA	-115	H	ast	0.5	0.41	41% - 30%	31% - 42%	36%	40%	40%	1,0,0,1,0,0,1,1,0,0	32%	'+160	-195
Jonathan Marchessault	VGK	-105	A	ast	0.5	0.41	39% - 24%	33% - 35%	34%	33%	60%	1,1,0,0,2,0,1,0,0,3	35%	'+175	-215
Sam Reinhart	FLA	-115	H	ast	0.5	0.4	40% - 26%	40% - 27%	34%	20%	20%	0,0,0,1,0,1,0,0,0,0	42%	'+120	-150
Reilly Smith	VGK	-105	A	ast	0.5	0.39	40% - 18%	32% - 32%	32%	27%	20%	0,0,0,2,0,0,0,0,1,0	34%	'+205	-255
Sam Bennett	FLA	-115	H	ast	0.5	0.41	35% - 26%	29% - 32%	31%	53%	60%	1,1,0,0,1,1,1,0,1,0	26%	'+150	-185
Gustav Forsling	FLA	-115	H	ast	0.5	0.33	33% - 26%	23% - 37%	30%	27%	40%	1,0,0,1,0,0,0,1,0,0	29%	'+170	-210
Anthony Duclair	FLA	-115	H	ast	0.5	0.37	32% - 23%	39% - 20%	29%	40%	20%	0,1,0,0,0,0,2,1,0,0	0%	'+220	-280
Aaron Ekblad	FLA	-115	H	ast	0.5	0.34	35% - 18%	28% - 26%	27%	33%	40%	1,0,0,1,0,0,0,1,0,2	41%	'+175	-215
Anton Lundell	FLA	-115	H	ast	0.5	0.3	33% - 15%	28% - 22%	25%	33%	20%	0,0,1,0,0,0,0,0,0,1	21%	'+210	-265
Nicolas Roy	VGK	-105	A	ast	0.5	0.27	30% - 13%	30% - 18%	24%	40%	20%	0,0,0,1,0,2,0,1,1,0	26%	'+235	-300